distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,0.0019077843264104612,0.0014670985374991307,-2.4099060858167434e-5,3.056189120645886e-5,-0.7885330359750253,0.43040344071452363,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
-4,0.0018601474955524599,0.0014199330568833522,-2.159446035663076e-5,2.1495390263823675e-5,-1.004608899470591,0.3151092131845749,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
-3,0.0017338429662676301,0.0013815445144881502,-1.8827831849658134e-5,1.0728223481094578e-5,-1.7549813240595515,0.07929273830304613,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
-2,0.0018477285725535574,0.001373445045077032,-2.063401039163144e-6,9.378156539480187e-7,-2.2002202996683122,0.027813769265290493,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
0,0.0018110672578576903,0.0013776993491957088,-5.84969652217966e-6,1.7042600863362914e-5,-0.3432396597842622,0.7314252956219889,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
1,3.344089885858961e-4,0.0012832161948891153,-2.487260857826307e-4,1.5347014942713118e-4,-1.6206805473967936,0.10511730141046731,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
2,3.8187954397990437e-4,0.0013394842880257848,-2.449365066999485e-4,1.836549176995267e-4,-1.333677909462153,0.1823394319748367,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
3,4.768782265290999e-4,0.0013506651264734617,-2.2082706191559236e-4,2.5556230174355574e-4,-0.8640830842773576,0.387562716030844,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
4,6.27891720224036e-4,0.0012682314227972068,1.138026745374783e-4,4.4961185352638324e-4,0.25311315447959015,0.8001859116469441,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
5,2.0457430345288685e-6,2.0477479698196737e-5,-1.7905944550707586e-5,1.6269082149946062e-5,-1.1006118467947468,0.2710917873253535,none,hhi_comp_sirzecs1_ma3,20001,51544,16047,26622,0.9928227453105357,0.9910470174622688,0.001972656454526933,0.001465430553886704,le5_panelsize0-acco_alt,NA
