distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,0.001919603319845213,0.00129040589816805,-1.557987132213124e-5,3.693209006719957e-5,-0.42185187174034766,0.673139823261221,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
-4,0.0019243975250778096,0.0011708301954194077,-2.1180719535148085e-5,1.9281156567020915e-5,-1.0985191402561525,0.27199735298396605,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
-3,0.001896148311774666,0.0011199056652681642,-8.173947274002417e-6,6.652639361886437e-6,-1.2286773458413647,0.21921410885394582,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
-2,0.001961424513807019,0.0011194402608613952,4.5850924579307876e-9,4.4061497891669196e-7,0.010406120257654021,0.9916974201151785,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
0,0.0018215939557179545,0.001119441283543078,-3.784959410986522e-6,6.922398550972321e-6,-0.5467699357551272,0.5845457898676798,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
1,2.453446152423841e-4,0.0010524047671553207,-9.065025420338002e-5,1.5822716089985725e-4,-0.5729120947872723,0.5667137067589705,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
2,3.129934030428849e-4,0.0010907641139278497,-1.0391922391910394e-4,1.821690319198788e-4,-0.5704549386023496,0.568378621008262,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
3,3.6455824944845296e-4,0.0010423536597301843,-1.288551668879467e-4,1.926314675620271e-4,-0.6689206520552282,0.5035574737827411,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
4,3.3311205379539543e-4,8.330725790679347e-4,1.9828603163721182e-6,1.8313980596392217e-4,0.010827030780860027,0.9913616072232847,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
5,2.8492470094727184e-4,7.795307817970989e-4,-2.0934670246727148e-4,1.9386562108753973e-4,-1.0798547018955016,0.280226078114968,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
6,4.2054554469695505e-4,6.960041829329091e-4,-9.263529074951451e-5,1.4660388866575479e-4,-0.6318747175984916,0.527479388837113,none,hhi_comp_sirzecs1_ma3,20401,78936,17784,31273,0.993138210376995,0.9916920720317218,5.200856790086306e-4,1.8281199061132014e-4,le5_panelsize0-election,NA
-5,0.002153203614591264,0.0014541313374898583,1.4059000975835774e-5,4.726216260440898e-5,0.29746842296472153,0.7661134654606155,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
-4,0.0021607310123913375,0.001401418551732726,-2.0626154574131132e-5,1.9495616297656472e-5,-1.0579893581825655,0.29007912537440683,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
-3,0.0021269426709094137,0.0013355260299566481,-7.823732801599284e-6,5.885150793444788e-6,-1.3294022661770704,0.18373763699740572,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
-2,0.0021860227520738313,0.0013349521705851477,2.3455641947661277e-7,5.994508446104199e-7,0.3912854933569237,0.6955923634562693,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
0,0.002026801758783942,0.001334952718819927,-7.161111864977494e-6,6.460729236175689e-6,-1.1084061261815679,0.2677061032151704,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
1,3.1507865014792144e-4,0.0012988370645374344,-1.1425354951324894e-4,1.3934356041843214e-4,-0.8199413677256352,0.4122639328976969,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
2,3.946624807520715e-4,0.0013194492963144724,-8.09407186245935e-5,1.566897198975365e-4,-0.5165668729098677,0.6054669629188117,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
3,3.89942929474585e-4,0.001198195666143733,-1.327115936826772e-4,1.6018289037775206e-4,-0.8285004307870176,0.4074017212620069,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
4,4.0284475117347674e-4,0.0010648321138079463,4.779912735125158e-6,1.8084430316291485e-4,0.026431093772520668,0.9789138821893284,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
5,3.709774234178019e-4,0.0010443147652692418,-1.857118377510858e-4,1.7155617403815748e-4,-1.0825132863465459,0.2790437484487856,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
6,5.097142143487509e-4,0.0011374900501797903,-8.638521225102346e-5,1.304229317289146e-4,-0.6623468059326868,0.5077602337849396,none,hhi_comp_sirze_eqtp_ma3,20402,78936,17784,31273,0.9925783771776749,0.9910142526653849,5.262342323026914e-4,1.8896261872969333e-4,le5_panelsize0-election,NA
-5,0.6446067158370055,0.650360479320831,-0.0035289866100746484,0.0018603783109588214,-1.896918809086654,0.05785431325601384,none,mean_sx_eqtp_ma3,20403,102142,17784,31273,0.9498728198096109,0.9387078432773505,0.0014175732383303608,0.0011545839118354273,le5_panelsize0-election,NA
-4,0.6398975319610678,0.6460952313775522,-0.004065503826912153,0.0013514175954351662,-3.008325361934504,0.0026304730279914407,none,mean_sx_eqtp_ma3,20403,102142,17784,31273,0.9498728198096109,0.9387078432773505,0.0014175732383303608,0.0011545839118354273,le5_panelsize0-election,NA
