distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,0.0011353145909520212,0.0010565189801255198,3.8405944070992384e-5,3.215250815299362e-5,1.1944929424554558,0.23230898135494768,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
-4,0.0010524821988292987,9.466521617390468e-4,2.728079026942875e-5,2.6682928980853238e-5,1.0224061342367818,0.3066094793062784,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
-3,6.261978446797635e-4,8.972701042313269e-4,-4.427571454102995e-8,7.205522521915715e-7,-0.061446917147735834,0.9510043192366824,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
-2,6.337655373669906e-4,8.930464805161644e-4,2.704834288119986e-7,5.108318410973591e-7,0.5294960240359163,0.5964712684838613,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
0,7.792079108292582e-4,8.805635253335821e-4,1.0464605793617222e-5,1.3992637865090485e-5,0.7478651198231057,0.4545562806772703,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
1,3.5332594770448155e-4,7.933080172216002e-4,2.648214927855752e-5,1.0855749463031629e-4,0.24394584057729338,0.8072769665384385,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
2,3.921155017003291e-4,8.137216596203401e-4,-5.775525086263334e-6,1.3583839659013998e-4,-0.04251761822314206,0.9660867796882644,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
3,3.923914663539152e-4,8.596069316265605e-4,-3.393915303942036e-5,1.394671512247596e-4,-0.24334872220000678,0.807739453614117,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
4,4.2869648915932964e-4,8.449543445643829e-4,-7.459773101135136e-7,1.4050925276061212e-4,-0.005309097411431311,0.9957640619392245,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
5,3.8717450256949584e-4,9.007278429793663e-4,-1.2197181241270666e-4,1.6139704760631022e-4,-0.7557251772673559,0.4498289274839882,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
6,4.013967139208233e-4,9.465042565270188e-4,-8.781615796564735e-5,1.4920586571958805e-4,-0.5885570084133673,0.5561696389908376,none,hhi_comp_sirzecs1_ma3,21401,84136,13416,24097,0.9648967288401566,0.9588133301858451,3.8691515588729075e-4,8.023406219381801e-5,panelpanSIZE2-acco_isin,NA
-5,8.953194728492842e-4,0.0011270206277606482,1.301996035563595e-5,2.2715115803093177e-5,0.5731848549001449,0.5665303566425096,none,hhi_comp_sirze_eqtp_ma3,21402,84136,13416,24097,0.9692681325688337,0.9639422984001621,3.640652811526257e-4,5.737717712217538e-5,panelpanSIZE2-acco_isin,NA
