distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,6.752126795908215e-4,8.812337040575337e-4,2.0335402385726347e-5,2.1725700587259436e-5,0.9360067494279839,0.3492826449120927,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
-4,6.025490100649717e-4,0.0011524721033809551,2.2979013261280726e-6,1.4020246509042203e-5,0.16389878199688335,0.8698127210948983,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
-3,7.949701951219203e-4,0.0013846002863476794,-5.316601755571761e-7,1.5818226482230177e-6,-0.3361060585106874,0.736794924617095,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
-2,7.905750990893194e-4,0.0013802892090598996,-6.636309511990358e-7,9.125102373221683e-7,-0.7272586367321336,0.4670772727821024,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
0,8.091472196232869e-4,0.0013707205315305103,-4.183796259484804e-6,7.555631330274508e-6,-0.5537321868419962,0.5797692275043601,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
1,5.147138755995743e-4,0.0013652661672186044,-2.026383187700525e-5,9.118543039048093e-5,-0.22222664070597667,0.8241400528088387,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
2,3.523612429500625e-4,0.0014081414271132971,-5.7925200571770996e-5,1.1997485549399533e-4,-0.48281117183483596,0.6292358646896782,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
3,3.528884634702902e-4,0.001434021598284026,-1.0521845532068129e-4,1.2680409416387486e-4,-0.8297717515705965,0.40667917783345264,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
4,4.1101290125328233e-4,0.0014845266795524383,-1.0635081980691812e-4,1.2748417830224512e-4,-0.8342275976770772,0.4041641436958441,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
5,3.7216628727629596e-4,0.0013715466074929647,-1.0945659580826071e-4,1.1749562790458001e-4,-0.9315801597073219,0.35156640794430893,none,hhi_comp_sirzecs1_ma3,21601,141805,16584,32460,0.9921907916954664,0.9909950316781102,3.836643544884444e-4,2.1296206743137702e-4,panelpanSIZE2-election,NA
