distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,0.0014693074843185438,0.0010551393937145187,1.0225967221377373e-5,2.1707833637811265e-5,0.4710726732107215,0.6375943110576434,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
-4,0.0014022629759233404,9.759499391062711e-4,-5.024235209197876e-6,1.0094020595971472e-5,-0.49774370494181974,0.6186705276843074,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
-3,0.001287601926821366,9.501175374890688e-4,-7.541341481666895e-6,5.209158171636841e-6,-1.4477082924316784,0.14771534447609774,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
-2,0.0012814729502047674,9.498193274603687e-4,5.6697961718105996e-8,1.3835993446843042e-7,0.40978598274085454,0.6819676241414755,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
0,0.0012123104644222308,9.498028288407321e-4,-4.390543071800116e-6,4.568741387383614e-6,-0.9609961911883248,0.33656645674631946,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
1,2.587169406680739e-4,9.313379306080139e-4,-1.837915335768542e-4,7.952969803029381e-5,-2.3109798996954045,0.020844741999578437,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
2,2.863402596862059e-4,8.62524523501632e-4,-1.837965331623543e-4,9.41129807206553e-5,-1.9529349910603335,0.05084213217754477,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
3,3.3205524497487507e-4,7.536172735943317e-4,-1.6286158033152924e-4,1.1994568932728215e-4,-1.3577943588047368,0.1745452607279076,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
4,3.0412728236213726e-4,7.549199349977801e-4,-2.776471970459947e-4,2.872017188311834e-4,-0.9667323655858592,0.3336902931432456,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
5,2.3612859149289213e-4,6.778077857123528e-4,-5.32976029545519e-4,3.923493289640776e-4,-1.3584221768716642,0.1743460799356121,none,hhi_comp_sirzecs1_ma3,11001,123334,13493,26986,0.9892067737454749,0.9872385369361876,0.0018937224754180804,0.0016832141099960563,le5_panelsize10,NA
