distance,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,7.588426886444489e-4,6.927958373075037e-4,-2.9557739546056327e-6,2.5232198920985578e-5,-0.11714293961701928,0.9067476988661113,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
-4,0.0012712598286883283,8.939353884047838e-4,2.2037973954543696e-6,1.921905517599427e-5,0.11466731196063384,0.9087097204593917,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
-3,0.0010097193447672665,0.0010757773381514218,-9.521189400347117e-7,1.2095800974290145e-6,-0.7871483187086648,0.4312023090080479,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
-2,0.0010040930245477362,0.001072548785419127,1.8948485052074605e-7,4.2158388915767674e-7,0.4494594205185027,0.6531040670335317,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
0,0.0010662201189852133,0.0010651212803357943,-6.084169943734423e-6,8.198526296512547e-6,-0.7421053154787685,0.4580303146723582,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
1,5.05546987903005e-4,0.0010831452839496919,-1.1656283871902017e-5,4.6572759502225604e-5,-0.25028115139591395,0.8023719332361956,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
2,3.2790083759234374e-4,0.0011463993971830232,-3.761317012903691e-5,6.392941560573652e-5,-0.5883546685457548,0.5562994309017935,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
3,3.3009396996261034e-4,0.0011801932413067306,-7.012171038191679e-5,7.006582338409544e-5,-1.000797635639204,0.31693407988326483,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
4,3.7304426227122855e-4,0.001228416682058258,-6.059307295840961e-5,7.127421496956841e-5,-0.8501401661776383,0.3952550861969073,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
5,3.4696758574855844e-4,0.0011454838874217245,-8.99375844858424e-5,7.339474790527147e-5,-1.2253953730030154,0.2204375243878692,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
6,3.482235777006986e-4,9.821486835245663e-4,-8.5231561243435e-5,6.923763955423851e-5,-1.2310003892704542,0.21833398929690895,none,hhi_comp_sirzecs1_ma3,15001,208306,17949,35898,0.986027300657886,0.9839102741534738,1.9855053274786538e-4,7.695851138611598e-5,panelpanSIZE2,NA
-5,1.2569712730752173e-5,1.4773512364060024e-5,-7.473275247768057e-6,2.441613449797668e-6,-3.060793774865286,0.002209791932222304,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
-4,9.385388813925037e-6,1.270528356332012e-5,-3.962507258444517e-6,1.979390792165638e-6,-2.001882232719273,0.045307910243168964,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
-3,1.3003298221081351e-5,8.950505225719192e-6,1.3534533023947935e-7,1.802306629288942e-6,0.07509561804856518,0.9401392199249062,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
-2,1.2835155189351665e-5,8.963824806688235e-6,-2.641532599202947e-6,2.0738241587273774e-6,-1.2737495549400628,0.20276373017900448,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
0,3.565772987795024e-5,8.880766813518073e-6,-6.598836612815495e-8,1.62579951393916e-6,-0.04058825553974445,0.9676244630750988,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
1,6.919533780125797e-5,1.020205837844261e-5,7.667245953484074e-6,2.7071306558877653e-6,2.832240821775079,0.00462590328608767,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
2,7.546320920736708e-5,1.247770287244748e-5,5.871720355724947e-6,3.175646793031336e-6,1.8489840773885484,0.06447161128866306,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
3,7.417402135654038e-5,1.3723915510488397e-5,2.5407624093829108e-6,3.221659309734078e-6,0.7886502466931025,0.4303237437432894,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
4,7.38365415594159e-5,1.4596931130597699e-5,1.4952289586447205e-6,3.552237656956344e-6,0.4209259354358273,0.6738126928039907,hhi_zecs1_ma3_q4:1,hhi_comp_sirzecs1_ma3,15002,208084,17860,35651,0.9860083918634658,0.9838835764611238,0.002284854997962049,0.0017988355195249772,panelpanSIZE2,NA
