quantile,fe0215_mlo_le,fe0215_mlo,fe0215_le,fe0215_god2,mean_xval,xname
1,2.3422518238623877,2.341676989356781,2.342836194667137,2.3422860787799618,1.3307293543940608,ln_apl_mean_0215
2,2.323726813861189,2.3232237447382373,2.324632568951188,2.324251748141783,2.2576424136644277,ln_apl_mean_0215
3,2.3158702506877624,2.314933660222037,2.316580080185154,2.3157831649407785,2.561361060506245,ln_apl_mean_0215
4,2.3091591960445417,2.3084709366709157,2.3098865589310282,2.3092170826848593,2.7494474977950496,ln_apl_mean_0215
5,2.3057480141005144,2.3052210188793,2.306624093270011,2.3060578701481846,2.883848715267256,ln_apl_mean_0215
6,2.304795167100328,2.3042092274973474,2.3054851334983866,2.3049623775605186,2.9878405720921895,ln_apl_mean_0215
7,2.303056319091186,2.3023661100044754,2.3038722993704153,2.3031919900835893,3.0728999830622388,ln_apl_mean_0215
8,2.299386215071613,2.2988223894636444,2.3001241385307885,2.299620058837398,3.1439841577045238,ln_apl_mean_0215
9,2.3004115793365774,2.300064180587269,2.301185587983146,2.3008686949189485,3.2050017088768614,ln_apl_mean_0215
10,2.301877561706924,2.301145157868537,2.302677088315763,2.302003830205805,3.259541898558494,ln_apl_mean_0215
11,2.29880060567999,2.2981974850377695,2.2996541201302967,2.299059268613718,3.308748924152495,ln_apl_mean_0215
12,2.302854451708073,2.302565066999582,2.303710708834797,2.3034937561473994,3.352818370334386,ln_apl_mean_0215
13,2.304720705995925,2.3040647997327532,2.305531722508592,2.3049550329035156,3.3939437149092266,ln_apl_mean_0215
14,2.3038765663388783,2.303451147162538,2.3047093681214426,2.30437045050141,3.432481607051546,ln_apl_mean_0215
15,2.308486661544496,2.308009617723319,2.3092949725352945,2.3089174676411113,3.468502702552896,ln_apl_mean_0215
16,2.3121076404077483,2.3114317005512133,2.3128782804693118,2.312255565709276,3.5028005934398756,ln_apl_mean_0215
17,2.3128012341934703,2.312314763474626,2.313689853217352,2.3132868158412676,3.535201576698057,ln_apl_mean_0215
18,2.3161480381142714,2.316009326696776,2.317078231716085,2.3170394537043104,3.5662330035754954,ln_apl_mean_0215
19,2.3190419277802863,2.3183830417557494,2.3198396740038616,2.3192397696718943,3.596281487098508,ln_apl_mean_0215
20,2.3217828115332604,2.3214802007027173,2.322661255115875,2.3223964759136653,3.6254869250230928,ln_apl_mean_0215
21,2.3242281129033135,2.3238825386787005,2.3249887169497967,2.324742028597026,3.6539032542552334,ln_apl_mean_0215
22,2.327032955046042,2.3263280184861426,2.3278591846668797,2.3271720047173274,3.681600806579206,ln_apl_mean_0215
23,2.3301700146345947,2.3300613972227864,2.3311024996800036,2.3310075259279848,3.708799304730261,ln_apl_mean_0215
24,2.335085126111052,2.334784523089373,2.335950938121084,2.335672198707668,3.735574569228768,ln_apl_mean_0215
25,2.3350500988389045,2.3348169063147552,2.3357953568140415,2.33570618811112,3.762334357268822,ln_apl_mean_0215
26,2.3400620104848704,2.33972533609602,2.3409779796201926,2.3406308314585593,3.7892003475892504,ln_apl_mean_0215
27,2.3417830709302323,2.341457792255883,2.342602037724874,2.3423455083785254,3.8159476298927757,ln_apl_mean_0215
28,2.3442837328760944,2.343986433610684,2.345227336842746,2.344986045842329,3.8429853645629777,ln_apl_mean_0215
29,2.3482352642606115,2.348015985844792,2.3490369560966338,2.3489119252979176,3.870171808855601,ln_apl_mean_0215
30,2.351161127332977,2.350779408019538,2.3519322001850616,2.351618852712231,3.8977089610984463,ln_apl_mean_0215
31,2.355606483766194,2.3552327818649186,2.356568074826705,2.3562794703422623,3.925775789740967,ln_apl_mean_0215
32,2.359250827570441,2.358741785325251,2.360114451532016,2.3596540774969554,3.9544554284652698,ln_apl_mean_0215
33,2.358980340160193,2.3586850127048087,2.359878274552143,2.359693715810463,3.9837451105514896,ln_apl_mean_0215
34,2.3655835056683165,2.3652670341856963,2.366363233529406,2.366218091186243,4.014089905277848,ln_apl_mean_0215
35,2.3669867394912143,2.3665478516349254,2.3679712942254354,2.3676026088907043,4.045467253191264,ln_apl_mean_0215
36,2.373665024576625,2.3735416518655956,2.374501861133963,2.3744519470953445,4.077937581139959,ln_apl_mean_0215
37,2.374479572517634,2.3743586308865163,2.3753487154657753,2.3753240796456523,4.112170318069684,ln_apl_mean_0215
38,2.3800427381423104,2.3798025883982508,2.3809877044771786,2.3808441289628743,4.14811462983033,ln_apl_mean_0215
39,2.3827069606333384,2.382243030907665,2.38359325177689,2.3831949302093762,4.18607198996133,ln_apl_mean_0215
40,2.3861638425381884,2.3857739878840105,2.3869405097488525,2.3866538657773,4.226671769517979,ln_apl_mean_0215
41,2.3920142407774487,2.3916231419796503,2.3928657002448546,2.392562032784287,4.270264868365024,ln_apl_mean_0215
42,2.396357419243199,2.3959113198203865,2.3970381087115205,2.3966692495354045,4.317408266576168,ln_apl_mean_0215
43,2.4002152873933484,2.4000133385222298,2.4009929364325933,2.4009340221470628,4.369242173188778,ln_apl_mean_0215
44,2.4062723442568914,2.4059217524956122,2.407182870985522,2.4069030928184136,4.427710855412734,ln_apl_mean_0215
45,2.414379820103769,2.4139095883460735,2.415320744764105,2.414963993119468,4.493526073350399,ln_apl_mean_0215
46,2.4197929903225655,2.4195847105603834,2.420719758393555,2.4207221014384754,4.570653984633539,ln_apl_mean_0215
47,2.4294641675035815,2.4290208475106487,2.430318757431901,2.4300566516132736,4.66652519829438,ln_apl_mean_0215
48,2.439752380169259,2.439908024661101,2.4406920857159067,2.4409676202519464,4.795281830377722,ln_apl_mean_0215
49,2.4531691262529125,2.453345702871888,2.453852494350381,2.454294413582013,4.996768005363856,ln_apl_mean_0215
50,2.480133427448358,2.480422893900231,2.4811097997444933,2.4817129457142015,5.619561831591135,ln_apl_mean_0215
1,2.3431199698479226,2.3425083068850774,2.3437778866615893,2.34321626743687,-2.4352403602838084,prod_res_mean_0215
2,2.322109109721263,2.3213690401448757,2.322826089913488,2.322170062031934,-1.4684182324212411,prod_res_mean_0215
3,2.3122111796495983,2.3114273098808433,2.3128383655370146,2.3120701633236935,-1.160470073445395,prod_res_mean_0215
4,2.305044498899385,2.304228451318182,2.305762110134457,2.305053370534102,-0.9782618714063637,prod_res_mean_0215
