var_name,mean,sd,min,p75,max,n_obs,n_nonmiss,n_individuals_treated,n_individuals_control,n_firms,sample
wage_agreement_ind,0.6378423817863398,0.48062741728787944,0,1,1,71375,71375,7986,6078,7550,le5_panelsize0
wage_agreement_num,2.3527005253940456,3.6210790337475194,0,3,52,71375,71375,7986,6078,7550,le5_panelsize0
wage_agreement_fail,0.27864098073555166,0.4483335819949334,0,1,1,71375,71375,7986,6078,7550,le5_panelsize0
wage_agreement_share,0.5528281132634175,0.4493583312055178,0,1,1,71375,71375,7986,6078,7550,le5_panelsize0
extwage_agreement_ind,0.7852049036777583,0.41068299932890856,0,1,1,71375,71375,7986,6078,7550,le5_panelsize0
hours_agreement_ind,0.55215411558669,0.4972759925771341,0,1,1,71375,71375,7986,6078,7550,le5_panelsize0
wage_agreement_ind_,0.6151247787491049,0.48656909494934,0,1,1,74011,74011,8237,6265,8216,le5_panelsize0
wage_agreement_num_,2.268905973436381,3.5826418609615334,0,3,52,74011,74011,8237,6265,8216,le5_panelsize0
wage_agreement_fail_,0.2687168123657294,0.44329532173666875,0,1,1,74011,74011,8237,6265,8216,le5_panelsize0
wage_agreement_share_,0.5331384062392944,0.45302156798967375,0,1,1,74011,74011,8237,6265,8216,le5_panelsize0
extwage_agreement_ind_,0.7572387888286877,0.4287548126274931,0,1,1,74011,74011,8237,6265,8216,le5_panelsize0
hours_agreement_ind_,0.5324884138844226,0.4989467573034529,0,1,1,74011,74011,8237,6265,8216,le5_panelsize0
shinscrit_sup10cgt_siren,0.5016089006281362,0.3998413563648819,0,0.8838402628898621,1,119609,107113,11702,9990,12540,le5_panelsize0
participation_siren,0.594369018768963,0.2715060203860918,0,0.7946304678916931,1.97826087474823,119609,100954,11702,9990,12540,le5_panelsize0
bnuls_siren,0.0990313333066721,0.0981995726121383,0,0.125,1,119609,95033,11702,9990,12540,le5_panelsize0
cgt_siren,0.32528979045694123,0.37190895389011286,0,0.4308851659297943,5,119609,95375,11702,9990,12540,le5_panelsize0
shinscrit_carence_siren,0.22915811800133035,0.39907273897620904,0,0.1735112965106964,1,119609,119609,11702,9990,12540,le5_panelsize0
wage_agreement_ind,0.628857878730556,0.4831139030477478,0,1,1,68723,68723,6592,5539,7056,le5_panelsize10
wage_agreement_num,2.336481236267334,3.652858053748564,0,3,52,68723,68723,6592,5539,7056,le5_panelsize10
wage_agreement_fail,0.26672293118752094,0.4422495394589636,0,1,1,68723,68723,6592,5539,7056,le5_panelsize10
wage_agreement_share,0.5474008708433807,0.45218941556967374,0,1,1,68723,68723,6592,5539,7056,le5_panelsize10
extwage_agreement_ind,0.7815141946655414,0.4132217840900771,0,1,1,68723,68723,6592,5539,7056,le5_panelsize10
hours_agreement_ind,0.5383496063908735,0.4985307654842303,0,1,1,68723,68723,6592,5539,7056,le5_panelsize10
wage_agreement_ind_,0.6071252967702963,0.48839279447755335,0,1,1,71183,71183,6801,5694,7634,le5_panelsize10
wage_agreement_num_,2.255735217678378,3.614467952579229,0,3,52,71183,71183,6801,5694,7634,le5_panelsize10
wage_agreement_fail_,0.25750530323251336,0.4372630879233879,0,1,1,71183,71183,6801,5694,7634,le5_panelsize10
wage_agreement_share_,0.5284833464025069,0.45541901890308084,0,1,1,71183,71183,6801,5694,7634,le5_panelsize10
extwage_agreement_ind_,0.7545059915991178,0.4303827394268933,0,1,1,71183,71183,6801,5694,7634,le5_panelsize10
hours_agreement_ind_,0.5197448829074358,0.49961349686119483,0,1,1,71183,71183,6801,5694,7634,le5_panelsize10
shinscrit_sup10cgt_siren,0.5004375168295014,0.3985091616482134,0,0.879807710647583,1,110649,99317,9326,8933,11136,le5_panelsize10
participation_siren,0.6058259014272762,0.2653686113987714,0,0.800000011920929,1.97826087474823,110649,93923,9326,8933,11136,le5_panelsize10
bnuls_siren,0.09904106733413497,0.09627049490197394,0,0.12666666507720947,1,110649,88771,9326,8933,11136,le5_panelsize10
cgt_siren,0.3207469464900809,0.35447545071823017,0,0.4308851659297943,5,110649,89048,9326,8933,11136,le5_panelsize10
shinscrit_carence_siren,0.22173541776262634,0.39361853090217896,0,0.15631262958049774,1,110649,110649,9326,8933,11136,le5_panelsize10
wage_agreement_ind,0.6493012664210447,0.4771913429699855,0,1,1,93097,93097,8047,8698,8315,le5_panelsize20
