quantile,type_akm,n_ind,sample
1,fe0215_god2_q5_full,5018,le5_panelsize0
1,fe0215_le_q5_full,5096,le5_panelsize0
1,fe0215_mlo_le_q5_full,5131,le5_panelsize0
1,fe0215_mlo_q5_full,5028,le5_panelsize0
1,hhi_zecs1_ma3_q4_full,46830,le5_panelsize0
2,fe0215_god2_q5_full,9310,le5_panelsize0
2,fe0215_le_q5_full,9236,le5_panelsize0
2,fe0215_mlo_le_q5_full,9226,le5_panelsize0
2,fe0215_mlo_q5_full,9280,le5_panelsize0
2,hhi_zecs1_ma3_q4_full,12351,le5_panelsize0
3,fe0215_god2_q5_full,14953,le5_panelsize0
3,fe0215_le_q5_full,15090,le5_panelsize0
3,fe0215_mlo_le_q5_full,15093,le5_panelsize0
3,fe0215_mlo_q5_full,15028,le5_panelsize0
3,hhi_zecs1_ma3_q4_full,5905,le5_panelsize0
4,fe0215_god2_q5_full,20104,le5_panelsize0
4,fe0215_le_q5_full,20320,le5_panelsize0
4,fe0215_mlo_le_q5_full,20365,le5_panelsize0
4,fe0215_mlo_q5_full,20207,le5_panelsize0
4,hhi_zecs1_ma3_q4_full,2074,le5_panelsize0
5,fe0215_god2_q5_full,17433,le5_panelsize0
5,fe0215_le_q5_full,16846,le5_panelsize0
5,fe0215_mlo_le_q5_full,16761,le5_panelsize0
5,fe0215_mlo_q5_full,17253,le5_panelsize0
1,fe0215_god2_q5_full,1330,le5_panelsize10
1,fe0215_le_q5_full,1328,le5_panelsize10
1,fe0215_mlo_le_q5_full,1337,le5_panelsize10
1,fe0215_mlo_q5_full,1324,le5_panelsize10
1,hhi_zecs1_ma3_q4_full,27326,le5_panelsize10
2,fe0215_god2_q5_full,4022,le5_panelsize10
2,fe0215_le_q5_full,4026,le5_panelsize10
2,fe0215_mlo_le_q5_full,4044,le5_panelsize10
2,fe0215_mlo_q5_full,4037,le5_panelsize10
2,hhi_zecs1_ma3_q4_full,7652,le5_panelsize10
3,fe0215_god2_q5_full,8673,le5_panelsize10
3,fe0215_le_q5_full,8827,le5_panelsize10
3,fe0215_mlo_le_q5_full,8825,le5_panelsize10
3,fe0215_mlo_q5_full,8695,le5_panelsize10
3,hhi_zecs1_ma3_q4_full,3968,le5_panelsize10
4,fe0215_god2_q5_full,13455,le5_panelsize10
4,fe0215_le_q5_full,13750,le5_panelsize10
4,fe0215_mlo_le_q5_full,13817,le5_panelsize10
4,fe0215_mlo_q5_full,13609,le5_panelsize10
4,hhi_zecs1_ma3_q4_full,1476,le5_panelsize10
5,fe0215_god2_q5_full,12942,le5_panelsize10
5,fe0215_le_q5_full,12422,le5_panelsize10
5,fe0215_mlo_le_q5_full,12327,le5_panelsize10
5,fe0215_mlo_q5_full,12745,le5_panelsize10
1,fe0215_god2_q5_full,4308,le5_panelsize20
1,fe0215_le_q5_full,4368,le5_panelsize20
1,fe0215_mlo_le_q5_full,4395,le5_panelsize20
1,fe0215_mlo_q5_full,4311,le5_panelsize20
1,hhi_zecs1_ma3_q4_full,44915,le5_panelsize20
2,fe0215_god2_q5_full,8554,le5_panelsize20
2,fe0215_le_q5_full,8529,le5_panelsize20
2,fe0215_mlo_le_q5_full,8535,le5_panelsize20
2,fe0215_mlo_q5_full,8543,le5_panelsize20
2,hhi_zecs1_ma3_q4_full,12107,le5_panelsize20
3,fe0215_god2_q5_full,14574,le5_panelsize20
3,fe0215_le_q5_full,14663,le5_panelsize20
3,fe0215_mlo_le_q5_full,14642,le5_panelsize20
3,fe0215_mlo_q5_full,14616,le5_panelsize20
3,hhi_zecs1_ma3_q4_full,5940,le5_panelsize20
4,fe0215_god2_q5_full,19948,le5_panelsize20
4,fe0215_le_q5_full,20181,le5_panelsize20
4,fe0215_mlo_le_q5_full,20250,le5_panelsize20
4,fe0215_mlo_q5_full,20095,le5_panelsize20
4,hhi_zecs1_ma3_q4_full,2039,le5_panelsize20
5,fe0215_god2_q5_full,17426,le5_panelsize20
5,fe0215_le_q5_full,16831,le5_panelsize20
5,fe0215_mlo_le_q5_full,16744,le5_panelsize20
5,fe0215_mlo_q5_full,17227,le5_panelsize20
1,fe0215_god2_q5_full,2161,le5_panelsize40
1,fe0215_le_q5_full,2181,le5_panelsize40
1,fe0215_mlo_le_q5_full,2199,le5_panelsize40
1,fe0215_mlo_q5_full,2160,le5_panelsize40
1,hhi_zecs1_ma3_q4_full,25396,le5_panelsize40
2,fe0215_god2_q5_full,4437,le5_panelsize40
2,fe0215_le_q5_full,4446,le5_panelsize40
2,fe0215_mlo_le_q5_full,4436,le5_panelsize40
2,fe0215_mlo_q5_full,4430,le5_panelsize40
2,hhi_zecs1_ma3_q4_full,6856,le5_panelsize40
3,fe0215_god2_q5_full,8029,le5_panelsize40
3,fe0215_le_q5_full,8094,le5_panelsize40
3,fe0215_mlo_le_q5_full,8100,le5_panelsize40
3,fe0215_mlo_q5_full,8048,le5_panelsize40
3,hhi_zecs1_ma3_q4_full,3405,le5_panelsize40
4,fe0215_god2_q5_full,11360,le5_panelsize40
4,fe0215_le_q5_full,11617,le5_panelsize40
4,fe0215_mlo_le_q5_full,11639,le5_panelsize40
4,fe0215_mlo_q5_full,11475,le5_panelsize40
4,hhi_zecs1_ma3_q4_full,1214,le5_panelsize40
5,fe0215_god2_q5_full,10689,le5_panelsize40
5,fe0215_le_q5_full,10210,le5_panelsize40
5,fe0215_mlo_le_q5_full,10166,le5_panelsize40
5,fe0215_mlo_q5_full,10547,le5_panelsize40
1,fe0215_god2_q5_full,758,panelpanSIZE1
1,fe0215_le_q5_full,750,panelpanSIZE1
1,fe0215_mlo_le_q5_full,745,panelpanSIZE1
1,fe0215_mlo_q5_full,751,panelpanSIZE1
1,hhi_zecs1_ma3_q4_full,24247,panelpanSIZE1
2,fe0215_god2_q5_full,2941,panelpanSIZE1
2,fe0215_le_q5_full,2914,panelpanSIZE1
2,fe0215_mlo_le_q5_full,2926,panelpanSIZE1
2,fe0215_mlo_q5_full,2928,panelpanSIZE1
2,hhi_zecs1_ma3_q4_full,6907,panelpanSIZE1
3,fe0215_god2_q5_full,7417,panelpanSIZE1
3,fe0215_le_q5_full,7525,panelpanSIZE1
3,fe0215_mlo_le_q5_full,7554,panelpanSIZE1
3,fe0215_mlo_q5_full,7489,panelpanSIZE1
3,hhi_zecs1_ma3_q4_full,3976,panelpanSIZE1
4,fe0215_god2_q5_full,12249,panelpanSIZE1
4,fe0215_le_q5_full,12599,panelpanSIZE1
4,fe0215_mlo_le_q5_full,12705,panelpanSIZE1
4,fe0215_mlo_q5_full,12458,panelpanSIZE1
4,hhi_zecs1_ma3_q4_full,1290,panelpanSIZE1
5,fe0215_god2_q5_full,12724,panelpanSIZE1
5,fe0215_le_q5_full,12263,panelpanSIZE1
5,fe0215_mlo_le_q5_full,12100,panelpanSIZE1
5,fe0215_mlo_q5_full,12432,panelpanSIZE1
1,fe0215_god2_q5_full,934,panelpanSIZE2
1,fe0215_le_q5_full,925,panelpanSIZE2
1,fe0215_mlo_le_q5_full,916,panelpanSIZE2
1,fe0215_mlo_q5_full,923,panelpanSIZE2
1,hhi_zecs1_ma3_q4_full,28629,panelpanSIZE2
2,fe0215_god2_q5_full,3594,panelpanSIZE2
2,fe0215_le_q5_full,3561,panelpanSIZE2
2,fe0215_mlo_le_q5_full,3578,panelpanSIZE2
2,fe0215_mlo_q5_full,3579,panelpanSIZE2
2,hhi_zecs1_ma3_q4_full,8200,panelpanSIZE2
3,fe0215_god2_q5_full,8723,panelpanSIZE2
3,fe0215_le_q5_full,8866,panelpanSIZE2
3,fe0215_mlo_le_q5_full,8900,panelpanSIZE2
3,fe0215_mlo_q5_full,8801,panelpanSIZE2
3,hhi_zecs1_ma3_q4_full,4558,panelpanSIZE2
4,fe0215_god2_q5_full,14439,panelpanSIZE2
4,fe0215_le_q5_full,14833,panelpanSIZE2
4,fe0215_mlo_le_q5_full,14936,panelpanSIZE2
4,fe0215_mlo_q5_full,14672,panelpanSIZE2
4,hhi_zecs1_ma3_q4_full,1570,panelpanSIZE2
5,fe0215_god2_q5_full,14853,panelpanSIZE2
5,fe0215_le_q5_full,14315,panelpanSIZE2
5,fe0215_mlo_le_q5_full,14146,panelpanSIZE2
5,fe0215_mlo_q5_full,14534,panelpanSIZE2
