variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.11924334600814215,0.01975099276686885,6.037334295831751,2.448997180764371e-8,ln_lshare_mean_0215,minmax_year,FALSE,30801,1941522,0.028940923313943934,0.0011953918182748824,le5_panelsize10-fixed_all,FALSE,FALSE
originTRUE,0.26656311484721146,0.03317347269434883,8.035429914234484,1.5409787093799753e-12,ln_lshare_mean_0215,minmax_year,FALSE,30801,1941522,0.028940923313943934,0.0011953918182748824,le5_panelsize10-fixed_all,FALSE,FALSE
destinationTRUE,0.06900523647590676,0.016925678265454172,4.076955463388936,8.947475919677805e-5,ln_lshare_mean_0215,minmax_year,FALSE,30802,1941522,0.06031802549306542,7.675148237156204e-4,le5_panelsize10-fixed_all,FALSE,TRUE
originTRUE,0.21599459149471975,0.0277837488695488,7.774134171341127,5.710478129176892e-12,ln_lshare_mean_0215,minmax_year,FALSE,30802,1941522,0.06031802549306542,7.675148237156204e-4,le5_panelsize10-fixed_all,FALSE,TRUE
destinationTRUE,0.0022607056719186717,0.018263682883271952,0.12378147859703008,0.9017272128320881,ln_lshare_mean_0215,minmax_year,TRUE,30803,1941522,0.034495859379760185,2.70410184927794e-4,le5_panelsize10-fixed_all,FALSE,FALSE
originTRUE,0.020566272828319396,0.03479138142735482,0.5911312510330247,0.5557150871050619,ln_lshare_mean_0215,minmax_year,TRUE,30803,1941522,0.034495859379760185,2.70410184927794e-4,le5_panelsize10-fixed_all,FALSE,FALSE
destinationTRUE,0.011104194479625167,0.01526342393314645,0.727503509583522,0.4685521849449542,ln_lshare_mean_0215,minmax_year,TRUE,30804,1941522,0.14419129235417005,0.0018214261710128854,le5_panelsize10-fixed_all,FALSE,TRUE
originTRUE,0.05085924219625806,0.014251890486505036,3.5685961974249056,5.445873033135524e-4,ln_lshare_mean_0215,minmax_year,TRUE,30804,1941522,0.14419129235417005,0.0018214261710128854,le5_panelsize10-fixed_all,FALSE,TRUE
destinationTRUE,-0.10585079714198178,0.03311819022591858,-3.1961528217547963,0.0018447572547871992,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.3360422483254931,0.31707135236955686,le5_panelsize10-fixed_all,TRUE,FALSE
originTRUE,-0.06320473063720744,0.027746616449581204,-2.277925697789412,0.024776190192695922,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.3360422483254931,0.31707135236955686,le5_panelsize10-fixed_all,TRUE,FALSE
ln_apl_mean_0215,-0.3851946876060993,0.012852123497978537,-29.97128744263041,5.623941803800904e-53,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.3360422483254931,0.31707135236955686,le5_panelsize10-fixed_all,TRUE,FALSE
ln_emp_mean_0215,0.12868199036158667,0.005969836908205219,21.555361116267715,3.713393626870554e-40,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.3360422483254931,0.31707135236955686,le5_panelsize10-fixed_all,TRUE,FALSE
