variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.07105346290033678,0.0017328677575891014,41.00339601170248,1.377962390455817e-10,fe0215_god2,sir+an,FALSE,32201,1459024,0.010604576858569303,0.009950603125936985,panelpanSIZE2-moving_wpanel,FALSE,FALSE
originTRUE,0.09726369408568777,0.003254901479019176,29.882223690222716,1.7059601051573783e-9,fe0215_god2,sir+an,FALSE,32201,1459024,0.010604576858569303,0.009950603125936985,panelpanSIZE2-moving_wpanel,FALSE,FALSE
destinationTRUE,0.04628584902371223,0.00166741914974449,27.758976518174762,3.0608411855029615e-9,fe0215_god2,sir+an,FALSE,32202,1459024,0.1749648681574527,0.005668915890552961,panelpanSIZE2-moving_wpanel,FALSE,TRUE
originTRUE,0.07336847501009469,0.0032228846479457666,22.764846721045075,1.4694218850987177e-8,fe0215_god2,sir+an,FALSE,32202,1459024,0.1749648681574527,0.005668915890552961,panelpanSIZE2-moving_wpanel,FALSE,TRUE
destinationTRUE,0.028019811739844937,0.006594212787960714,4.24915189133746,0.002802380495665811,fe0215_god2,sir+an,TRUE,32203,1459024,0.014001728392884938,0.013302122755860069,panelpanSIZE2-moving_wpanel,FALSE,FALSE
originTRUE,0.00794950244463288,0.009300836468570437,0.8547083341907998,0.41757187853766087,fe0215_god2,sir+an,TRUE,32203,1459024,0.014001728392884938,0.013302122755860069,panelpanSIZE2-moving_wpanel,FALSE,FALSE
destinationTRUE,0.029060159942195636,0.0037789781502932883,7.689951829951772,5.797511623931524e-5,fe0215_god2,sir+an,TRUE,32204,1459024,0.23550240190127258,0.0188545112360039,panelpanSIZE2-moving_wpanel,FALSE,TRUE
originTRUE,0.020227449283511743,0.00704003598057972,2.8732025431844583,0.0207267326828452,fe0215_god2,sir+an,TRUE,32204,1459024,0.23550240190127258,0.0188545112360039,panelpanSIZE2-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.011725398612770235,0.0016862079780364462,-6.953708418829933,1.1797863967147408e-4,fe0215_god2,sir+an,FALSE,32205,1459024,0.21496441964350688,0.21444552432953357,panelpanSIZE2-moving_wpanel,TRUE,FALSE
originTRUE,0.04481382575880051,0.002901312839300901,15.446050888327791,3.069717990618209e-7,fe0215_god2,sir+an,FALSE,32205,1459024,0.21496441964350688,0.21444552432953357,panelpanSIZE2-moving_wpanel,TRUE,FALSE
ln_apl_ma3,0.12247059581700928,0.002091491227736291,58.55659071999281,8.034672565111263e-12,fe0215_god2,sir+an,FALSE,32205,1459024,0.21496441964350688,0.21444552432953357,panelpanSIZE2-moving_wpanel,TRUE,FALSE
ln_emp_ma3,0.034292234038843246,6.496227437751119e-4,52.78792093941006,1.8384817327317505e-11,fe0215_god2,sir+an,FALSE,32205,1459024,0.21496441964350688,0.21444552432953357,panelpanSIZE2-moving_wpanel,TRUE,FALSE
destinationTRUE,-0.017991539907170055,0.0014848445369404905,-12.116783582099087,1.991268040731955e-6,fe0215_god2,sir+an,FALSE,32206,1459024,0.3032913457887294,0.16032779125030616,panelpanSIZE2-moving_wpanel,TRUE,TRUE
originTRUE,0.030648051996311612,0.003058233805226431,10.021487547464487,8.353220673052234e-6,fe0215_god2,sir+an,FALSE,32206,1459024,0.3032913457887294,0.16032779125030616,panelpanSIZE2-moving_wpanel,TRUE,TRUE
ln_apl_ma3,0.10240901966736202,0.002021111202946233,50.669661084495196,2.5489996303869275e-11,fe0215_god2,sir+an,FALSE,32206,1459024,0.3032913457887294,0.16032779125030616,panelpanSIZE2-moving_wpanel,TRUE,TRUE
ln_emp_ma3,0.03262009044856686,5.904947754313303e-4,55.24196285181242,1.2792983963526652e-11,fe0215_god2,sir+an,FALSE,32206,1459024,0.3032913457887294,0.16032779125030616,panelpanSIZE2-moving_wpanel,TRUE,TRUE
destinationTRUE,0.07028885866922881,0.0016931794720181743,41.512940494989856,1.2488454084201397e-10,fe0215_mlo_le,sir+an,FALSE,32207,1459024,0.009453737090328707,0.008848385168847561,panelpanSIZE2-moving_wpanel,FALSE,FALSE
originTRUE,0.08654389198820281,0.0028534845464414506,30.32919596362656,1.5163214615403376e-9,fe0215_mlo_le,sir+an,FALSE,32207,1459024,0.009453737090328707,0.008848385168847561,panelpanSIZE2-moving_wpanel,FALSE,FALSE
destinationTRUE,0.04550901277128831,0.0016138214702934258,28.19953359711706,2.7016631445502547e-9,fe0215_mlo_le,sir+an,FALSE,32208,1459024,0.16953074826533765,0.004735959032829973,panelpanSIZE2-moving_wpanel,FALSE,TRUE
originTRUE,0.06262839166569409,0.0027085867313623403,23.122165866253738,1.2994678207581744e-8,fe0215_mlo_le,sir+an,FALSE,32208,1459024,0.16953074826533765,0.004735959032829973,panelpanSIZE2-moving_wpanel,FALSE,TRUE
destinationTRUE,0.02610543303663978,0.006913169194851499,3.7761889374964945,0.0054175433734299045,fe0215_mlo_le,sir+an,TRUE,32209,1459024,0.011373051062215866,0.010823737308881753,panelpanSIZE2-moving_wpanel,FALSE,FALSE
