variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.039847849700633146,0.0012983245086826973,30.6917488148348,1.2403142831516774e-53,fe0215_god2,~minmax_year,12,49152,49152,0.15936715401356882,0.15758466342326582,0.14670430110489752,0.14668690359436898,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04348765189738202,0.009780142735619422,-4.446525278102472,2.2088728237898718e-5,fe0215_god2,~minmax_year,12,49152,49152,0.22998933823972234,0.22834086294133238,0.2183903009257122,0.2183584284101524,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07987818523331053,0.007910256735765314,10.098052174735432,4.476994018409718e-17,fe0215_god2,~minmax_year,12,49152,49152,0.22998933823972234,0.22834086294133238,0.2183903009257122,0.2183584284101524,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.03670166694491666,0.0020622056995964456,17.797287124217934,3.4018599967164174e-33,fe0215_god2,~minmax_year,12,49152,49152,0.23444789966468993,0.23280896946579077,0.22291602378480457,0.2228843358193756,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08696476034396206,0.01035395617148437,8.399181810665764,2.602098956792244e-13,fe0215_god2,~minmax_year,12,49152,49152,0.23444789966468993,0.23280896946579077,0.22291602378480457,0.2228843358193756,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.0362520715897062,0.0019346139304312643,18.73865943972857,5.822267519357395e-35,fe0215_god2,~minmax_year,12,49152,49152,0.23074192783670433,0.2290950637177721,0.21915422713821286,0.2191223857740705,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.0865203104828397,0.012143094330872612,7.125062864979184,1.4615606945064672e-10,fe0215_god2,~minmax_year,12,49152,49152,0.23074192783670433,0.2290950637177721,0.21915422713821286,0.2191223857740705,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03950815566140136,0.0013822484735462731,28.582527973454663,8.845570891536008e-51,fe0215_god2,~minmax_year,12,49152,49152,0.16021899207468782,0.15842114911436167,0.14756897080841724,0.14753421033746383,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.015294223853575043,0.004047315187023806,3.778856636273404,2.641687744152964e-4,fe0215_god2,~minmax_year,12,49152,49152,0.16021899207468782,0.15842114911436167,0.14756897080841724,0.14753421033746383,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.03982590441197874,0.0013099320685519345,30.403030331186805,2.983266540114911e-53,fe0215_god2,~minmax_year,12,49152,49152,0.1595465798672705,0.15774729737504,0.14688642973568455,0.14685164143204055,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.011328544169094484,0.00806381210607318,1.404862119810865,0.163070997552604,fe0215_god2,~minmax_year,12,49152,49152,0.1595465798672705,0.15774729737504,0.14688642973568455,0.14685164143204055,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.03565016721671898,0.002231782120346834,15.97385644938257,1.2369051127010331e-29,fe0215_god2,~minmax_year,12,49152,49152,0.022340724145803237,0.02026768064286033,0.007613776865492472,0.007593543492949051,le5_panelsize0-fixed,fe0215_god2~before1994 | minmax_year
maxmfg,0.03922335224000049,0.003665505758527054,10.700665835473135,2.049617888591694e-18,fe0215_god2,~minmax_year,12,49152,49152,0.02361570093175147,0.021545360908853062,0.008907959233972362,0.008887752248004532,le5_panelsize0-fixed,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.035200008103302025,0.0019425115553908315,18.120874496532824,8.297953311832673e-34,fe0215_god2,~minmax_year,12,49152,49152,0.23197842042250938,0.23030281669902042,0.2204093456007148,0.22034576264219596,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08747997944581858,0.012205266108187871,7.1673963247006025,1.1894674976559323e-10,fe0215_god2,~minmax_year,12,49152,49152,0.23197842042250938,0.23030281669902042,0.2204093456007148,0.22034576264219596,le5_panelsize0-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
