variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.0252034094521175,0.001032752569786661,24.40411206851206,6.562894535405463e-44,fe0215_god2,~minmax_year,12,24457,24457,0.10594692527651484,0.1022392939668425,0.07686310937791652,0.07682520599501275,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.058114826104422146,0.011213477631029542,-5.182587241589427,1.140858391926339e-6,fe0215_god2,~minmax_year,12,24457,24457,0.23314941842309844,0.22993767664265818,0.20820353795262014,0.2081385140171642,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.0816603107413495,0.009319837407964942,8.76198877370551,5.079811190838427e-14,fe0215_god2,~minmax_year,12,24457,24457,0.23314941842309844,0.22993767664265818,0.20820353795262014,0.2081385140171642,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.023848207423024483,0.0021767831486895275,10.955711154499538,8.037378617191746e-19,fe0215_god2,~minmax_year,12,24457,24457,0.2365536166174299,0.23335613238054798,0.21171847573989688,0.21165374045827912,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08720591174717786,0.011452422713007341,7.61462565018071,1.5170368435614973e-11,fe0215_god2,~minmax_year,12,24457,24457,0.2365536166174299,0.23335613238054798,0.21171847573989688,0.21165374045827912,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.02385333419963424,0.0018250298338466167,13.070106448264767,2.3110569266526438e-23,fe0215_god2,~minmax_year,12,24457,24457,0.2216031285232153,0.2183430282977643,0.19628164376340096,0.1962156407777529,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08445688983533149,0.013307027437683526,6.3467885845160374,6.482488704087728e-9,fe0215_god2,~minmax_year,12,24457,24457,0.2216031285232153,0.2183430282977643,0.19628164376340096,0.1962156407777529,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.024867459961184276,0.0010872499571518918,22.87188865596821,1.6193095112069715e-41,fe0215_god2,~minmax_year,12,24457,24457,0.10757845400718791,0.10384079293749637,0.07854771222977741,0.07847204069427849,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.014912722268074097,0.00415504307123576,3.589065627576966,5.160032410065502e-4,fe0215_god2,~minmax_year,12,24457,24457,0.10757845400718791,0.10384079293749637,0.07854771222977741,0.07847204069427849,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.025216516887133462,0.0010063264892538294,25.057987796615585,6.739089464531842e-45,fe0215_god2,~minmax_year,12,24457,24457,0.10598463023533633,0.10224029387514932,0.07690204089040897,0.07682623420903356,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.0035172129505890532,0.007577474374504438,0.464166921160862,0.6435370631316817,fe0215_god2,~minmax_year,12,24457,24457,0.10598463023533633,0.10224029387514932,0.07690204089040897,0.07682623420903356,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.010638133682043398,0.001722394750322689,6.176362114463223,1.4210709061901572e-8,fe0215_god2,~minmax_year,12,24457,24457,0.032465170111822594,0.02845281052164783,9.90970577692707e-4,9.499519355484765e-4,panelpanSIZE1-fixed,fe0215_god2~before1994 | minmax_year
maxmfg,0.022382908002118555,0.0054298895118874155,4.122166381676211,7.757430938112303e-5,fe0215_god2,~minmax_year,12,24457,24457,0.03710586357193768,0.03311274890229143,0.005782627194304446,0.005741805294373958,panelpanSIZE1-fixed,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.022695894775365193,0.0016969303531997498,13.37467665220884,5.2955345332698685e-24,fe0215_god2,~minmax_year,12,24457,24457,0.2267776802416439,0.22347548242401627,0.20162452520832075,0.20149338600418287,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08658416178489312,0.01312265975831266,6.598064979170526,2.008234072753033e-9,fe0215_god2,~minmax_year,12,24457,24457,0.2267776802416439,0.22347548242401627,0.20162452520832075,0.20149338600418287,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0013334331804065172,0.001243392266704703,1.0724155329841683,0.28611466430912574,fe0215_god2,~minmax_year,12,24457,24457,0.2267776802416439,0.22347548242401627,0.20162452520832075,0.20149338600418287,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.021819008641790996,0.0037944359613201043,5.750264035079419,9.724467004693316e-8,fe0215_god2,~minmax_year,12,24457,24457,0.2267776802416439,0.22347548242401627,0.20162452520832075,0.20149338600418287,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.024660043578958592,8.454819017074955e-4,29.166849732863977,1.0524389680688816e-50,fe0215_god2,~minmax_year,12,24457,24457,0.10874524984549228,0.10493897134614649,0.07975246428825689,0.07960130667726617,panelpanSIZE1-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
