variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.026325592750119996,8.020052364473595e-4,32.82471429579987,1.0828336021284711e-55,fe0215_god2,~minmax_year,12,28133,28133,0.1106088448345085,0.10737238754493017,0.08332388305075022,0.08329117965735211,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.05331099761635699,0.009796798056033763,-5.441675669074674,3.704302117018697e-7,fe0215_god2,~minmax_year,12,28133,28133,0.22808147545298085,0.22524485595073884,0.20440036807956474,0.2043435983316665,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07828004733875224,0.008379507227955153,9.341843763509097,2.5274779532834676e-15,fe0215_god2,~minmax_year,12,28133,28133,0.22808147545298085,0.22524485595073884,0.20440036807956474,0.2043435983316665,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.02516322569212896,0.0017510000596815468,14.370773748977129,3.66275182394838e-26,fe0215_god2,~minmax_year,12,28133,28133,0.23128986811722407,0.22846503870540324,0.20770718860732196,0.2076506548165058,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08384359582199305,0.010924873784289921,7.674559677070228,1.0780872089122355e-11,fe0215_god2,~minmax_year,12,28133,28133,0.23128986811722407,0.22846503870540324,0.20770718860732196,0.2076506548165058,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.025051718308456435,0.0014909165464152827,16.802897766940795,5.140385725710484e-31,fe0215_god2,~minmax_year,12,28133,28133,0.21962216579562532,0.21675446031476442,0.19568154162875195,0.19562414975188358,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08190952835922004,0.01286906405944357,6.364839585914815,5.803047707967873e-9,fe0215_god2,~minmax_year,12,28133,28133,0.21962216579562532,0.21675446031476442,0.19568154162875195,0.19562414975188358,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.026018449242505744,0.00086344258076428385,30.133386773067507,2.7695413418876875e-52,fe0215_god2,~minmax_year,12,28133,28133,0.11200292927731292,0.1087397483474033,0.08476073556081531,0.08469542896661375,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.013570281370584296,0.004489949932906565,3.0223680827994412,0.0031784638719426213,fe0215_god2,~minmax_year,12,28133,28133,0.11200292927731292,0.1087397483474033,0.08476073556081531,0.08469542896661375,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.026312610019045824,7.854584628001569e-4,33.49968364366647,1.644861919538261e-56,fe0215_god2,~minmax_year,12,28133,28133,0.11064884126122176,0.10738068437549297,0.08336510649773243,0.08329970031888179,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,-0.0035414304160710816,0.007706029912198609,-0.4595661392989163,0.6468153413874469,fe0215_god2,~minmax_year,12,28133,28133,0.11064884126122176,0.10738068437549297,0.08336510649773243,0.08329970031888179,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.012508874840534475,0.002182225051452221,5.732165356735368,1.0335136484590457e-7,fe0215_god2,~minmax_year,12,28133,28133,0.03105817248134435,0.027532233615596757,0.001332735500118476,0.001297106985509111,panelpanSIZE2-fixed,fe0215_god2~before1994 | minmax_year
maxmfg,0.022577553724496748,0.004596219367067031,4.9122010768829085,3.4791234702687454e-6,fe0215_god2,~minmax_year,12,28133,28133,0.03531515996747581,0.03180471210149938,0.005720319901002746,0.0056848479181236256,panelpanSIZE2-fixed,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.02393664079971598,0.0013553303109413363,17.66111228124968,1.1899636648871578e-32,fe0215_god2,~minmax_year,12,28133,28133,0.22417880233955534,0.22127227557057016,0.20037796779532602,0.2002638461223386,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08388558138075797,0.012693035751113895,6.6087879232039874,1.8522960886445867e-9,fe0215_god2,~minmax_year,12,28133,28133,0.22417880233955534,0.22127227557057016,0.20037796779532602,0.2002638461223386,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.001585583939277976,0.001554353009419272,1.020092559199517,0.31012181965553776,fe0215_god2,~minmax_year,12,28133,28133,0.22417880233955534,0.22127227557057016,0.20037796779532602,0.2002638461223386,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.02071720854032301,0.0030836917714965385,6.718313656318768,1.1037535817094035e-9,fe0215_god2,~minmax_year,12,28133,28133,0.22417880233955534,0.22127227557057016,0.20037796779532602,0.2002638461223386,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.025802208911482993,6.300894333567155e-4,40.95007398239523,1.0208324362466304e-64,fe0215_god2,~minmax_year,12,28133,28133,0.11291966813276988,0.10959632154390697,0.08570559835756819,0.08557511069900425,panelpanSIZE2-fixed,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
