distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,TRUE,9.090489160506135e-4,6.858412606955102e-4,-1.7418775151473626e-6,1.5257807128479288e-5,-0.1141630314552922,0.9091098138252555,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-4,TRUE,8.748665330547741e-4,6.555833022988068e-4,-5.286543128734839e-6,8.67517965219482e-6,-0.6093871643796268,0.5422754364736242,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-3,TRUE,8.189709379964116e-4,6.413430946235274e-4,-8.944634825174592e-6,5.196090908704965e-6,-1.7214161534760148,0.08519229686679346,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-2,TRUE,8.743034384412738e-4,6.412493152969586e-4,0,NA,NA,NA,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-1,TRUE,8.747787723057001e-4,6.412493152969586e-4,-1.5244385766349506e-8,5.504413175834942e-8,-0.2769484280953736,0.7818228454187526,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
0,TRUE,0.0010450185296911716,6.415585271608508e-4,6.698629222944965e-6,5.284694631027726e-6,1.2675527519822405,0.2049739006064751,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
1,TRUE,3.122733424398621e-4,6.232479488283559e-4,-6.56092246599499e-5,8.218095249741491e-5,-0.7983507451074349,0.4246773753420974,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
2,TRUE,3.5012028782612013e-4,6.575019484524731e-4,-2.0410485357776267e-5,9.906570780525747e-5,-0.20602977367202613,0.8367699543483013,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
3,TRUE,4.6945159104876377e-4,6.203984857115082e-4,-3.2835621821389864e-5,1.6999579466099452e-4,-0.19315549473956478,0.8468393437016117,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
4,TRUE,6.304140954413529e-4,5.544161275451448e-4,2.9754208524733873e-4,3.3171186989476554e-4,0.8969895630859787,0.369736328778717,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-5,FALSE,9.090489160506135e-4,6.858412606955102e-4,-0.006592562983830979,3.92832048232288,-0.0016782141410042718,0.9986609978344594,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-4,FALSE,8.748665330547741e-4,6.555833022988068e-4,-0.003299498418480697,1.9641592387190228,-0.0016798528110340738,0.9986596903847116,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-2,FALSE,8.743034384412738e-4,6.412493152969586e-4,0.003299422321048419,1.964158732615981,0.001679814500864732,0.998659720951342,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
-1,FALSE,8.747787723057001e-4,6.412493152969586e-4,0.006597228520696918,3.9283181406640777,0.0016794028091578306,0.9986600494288318,none,hhi_comp_sirzecs1_ma3_dlag4,20001,110685,17985,34016,0.9920792608899235,0.9904918487320676,6.173035922522052e-4,4.2220692140637617e-4,le5_panelsize0-acco_alt,NA
