distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,TRUE,0.0018467159614521445,0.0013121341426756484,-2.6383085056332997e-5,3.6774692258134175e-5,-0.717425039783911,0.4731248793449857,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
-4,TRUE,0.0018856005020384042,0.0011974864891836014,-1.680565671195247e-5,1.889424368464583e-5,-0.8894590856584208,0.3737730079439342,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
-3,TRUE,0.0018519034798067766,0.0011409549862584588,-8.385276131888954e-6,6.986290057043944e-6,-1.2002473506570885,0.23006535702290132,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
-2,TRUE,0.0019281688149650827,0.001140470074230086,0,NA,NA,NA,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
-1,TRUE,0.0019301958396294712,0.001140470074230086,-7.350816619055344e-7,6.961571537478783e-7,-1.0559133924690702,0.291027582284091,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
0,TRUE,0.0018361137797271684,0.0011409244282262652,-7.403091832105086e-6,7.94791854531811e-6,-0.9314503904253062,0.3516380868228175,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
1,TRUE,2.72240696948702e-4,0.0010646976352781915,-1.2814200320839983e-4,1.6645932266601117e-4,-0.7698097118027308,0.4414268902170527,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
2,TRUE,3.113095400025352e-4,0.0010956705029161388,-1.3645456013209743e-4,1.890518071634123e-4,-0.7217839500161406,0.4704404162675374,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
3,TRUE,3.6776661705032203e-4,0.001048829135119992,-1.7163560924739836e-4,2.2523248602092374e-4,-0.7620375385434128,0.4460515483089589,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
4,TRUE,3.5688019064473926e-4,8.45365751493662e-4,-7.781280925417737e-6,2.1777282473923142e-4,-0.03573118425007944,0.9714972584836394,none,hhi_comp_sirzecs1_ma3_dlag4,20401,76431,16941,29860,0.9938004688155152,0.9925239796713446,7.599575693361116e-4,4.1310870639077457e-4,le5_panelsize0-election,NA
