distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,TRUE,0.0014808814664992148,0.0013747609559424713,5.857562005623009e-6,2.3506608615764575e-5,0.24918788164510755,0.8032200378753412,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-4,TRUE,0.0014239035053228116,0.0013214467587304604,-6.307367059697599e-6,1.446973233418566e-5,-0.4359007419090984,0.6629171764896233,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-3,TRUE,0.001323715228229561,0.0013283235817908667,-1.734318637659555e-5,8.336388664273108e-6,-2.080419600746601,0.03750981640281076,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-2,TRUE,0.001391544620610105,0.0013285533779820652,0,NA,NA,NA,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-1,TRUE,0.0013924704057169317,0.0013285533779820652,1.6758497887097711e-7,1.6353594119956196e-7,1.024759313712416,0.3054989758422161,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
0,TRUE,0.0014951441736837806,0.0013289178168254877,-1.5580204193195413e-6,7.10136190748656e-6,-0.21939741131585047,0.8263444980900704,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
1,TRUE,3.498542260076757e-4,0.0012837125330174796,-2.3832523624563328e-4,1.3781612298379575e-4,-1.7292986559609957,0.08378330478716381,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
2,TRUE,4.241255884489728e-4,0.0011232780610969317,-2.2453468157182703e-4,1.6728952136964946e-4,-1.342192145290956,0.17956100145239035,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
3,TRUE,5.767901877619023e-4,9.558365214598067e-4,-1.6589888832997034e-4,2.503896724148375e-4,-0.6625628234982249,0.5076242668166796,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
4,TRUE,6.923158328997694e-4,9.86571577085645e-4,1.9632083422411241e-4,5.335886829707739e-4,0.3679254086332739,0.7129358302107967,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-5,FALSE,0.0014808814664992148,0.0013747609559424713,-0.013626026914128505,12.129829308116891,-0.0011233486117574966,0.99910371774944,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-4,FALSE,0.0014239035053228116,0.0013214467587304604,-0.006815550420977261,6.06491390600693,-0.0011237670520313357,0.9991033838900942,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-2,FALSE,0.001391544620610105,0.0013285533779820652,0.006813678765825928,6.064913230796592,0.0011234585733604946,0.9991036300147951,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-1,FALSE,0.0013924704057169317,0.0013285533779820652,0.013624083237432373,12.129827571113745,0.001123188533188805,0.9991038454707173,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
0,FALSE,0.0014951441736837806,0.0013289178168254877,0.02043213919734401,18.194741661509177,0.0011229694588392003,0.9991040202627333,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
1,FALSE,3.498542260076757e-4,0.0012837125330174796,0.02725692362533021,24.259658016838717,0.0011235493759397218,0.9991035575664875,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
2,FALSE,4.241255884489728e-4,0.0011232780610969317,0.034084968398224995,30.324578588939364,0.0011240046847891632,0.9991031942909521,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
3,FALSE,5.767901877619023e-4,9.558365214598067e-4,0.0408523511317769,36.389488094573885,0.001122641544877035,0.9991042818941961,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
4,FALSE,6.923158328997694e-4,9.86571577085645e-4,0.04764025177221786,42.45440230453706,0.0011221510417337,0.9991046732500692,none,hhi_comp_sirzecs1_ma3_dlag4,20801,66999,10782,19360,0.9932504561574715,0.9918838785583983,0.0015860316687735798,0.0012634828698439016,le5_panelsize10-acco_isin,NA
-5,TRUE,0.0016939488295223087,0.0014156396960970463,-1.3228730818246158e-5,2.7221390516638218e-5,-0.48596822451669075,0.626999234848957,none,hhi_comp_sirze_eqtp_ma3_dlag4,20802,66999,10782,19360,0.9926669848703837,0.9911822720596223,0.0018221850201246559,0.0014997125131763767,le5_panelsize10-acco_isin,NA
-4,TRUE,0.001647290344317998,0.001370466752751429,-1.5391794342778527e-5,1.6092210270955996e-5,-0.9564748461284021,0.3388531014638777,none,hhi_comp_sirze_eqtp_ma3_dlag4,20802,66999,10782,19360,0.9926669848703837,0.9911822720596223,0.0018221850201246559,0.0014997125131763767,le5_panelsize10-acco_isin,NA
-3,TRUE,0.001504683106083984,0.0013621417941015925,-1.8580692311883574e-5,8.228529264121382e-6,-2.2580818169901185,0.023959788269688507,none,hhi_comp_sirze_eqtp_ma3_dlag4,20802,66999,10782,19360,0.9926669848703837,0.9911822720596223,0.0018221850201246559,0.0014997125131763767,le5_panelsize10-acco_isin,NA
-2,TRUE,0.0015647107612108615,0.0013621431011552757,0,NA,NA,NA,none,hhi_comp_sirze_eqtp_ma3_dlag4,20802,66999,10782,19360,0.9926669848703837,0.9911822720596223,0.0018221850201246559,0.0014997125131763767,le5_panelsize10-acco_isin,NA
-1,TRUE,0.0015656965018017214,0.0013621431011552757,1.313489619836949e-7,1.294466143491844e-7,1.0146960014680562,0.31027275453093345,none,hhi_comp_sirze_eqtp_ma3_dlag4,20802,66999,10782,19360,0.9926669848703837,0.9911822720596223,0.0018221850201246559,0.0014997125131763767,le5_panelsize10-acco_isin,NA
