distance,treatment_path,mean_treated,mean_control,beta,std_error,tval,pval,interaction_group,dep_var,model_id,n_obs,n_treated,n_ind,r2,ar2,wr2,war2_adj,sample,description
-5,TRUE,4.657811229315247e-4,7.302274919883112e-4,-8.167336332259694e-6,2.513854058786241e-5,-0.3248930184993759,0.745266361028162,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
-4,TRUE,4.216480457713864e-4,6.685842813951876e-4,-1.2583618362761474e-5,2.1701841028625433e-5,-0.5798410534001827,0.562030113592989,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
-3,TRUE,4.030009973365626e-4,6.355254964494312e-4,-1.2531479502447912e-8,3.890838288564744e-7,-0.03220765956600714,0.9743068564789237,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
-2,TRUE,4.0337554363194695e-4,6.340634370974748e-4,0,NA,NA,NA,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
-1,TRUE,4.017672255951118e-4,6.306701629997013e-4,-1.223999152715864e-7,2.7026349958860894e-7,-0.4528910321145908,0.650633454413695,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
0,TRUE,4.6810816463928046e-4,6.306701629997013e-4,2.4580449851561412e-6,4.5785344803444426e-6,0.5368628314820997,0.5913699588863203,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
1,TRUE,6.422512213136143e-4,5.810898193367108e-4,7.572871667271323e-5,6.369143622986167e-5,1.188993703948034,0.23446009059951478,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
2,TRUE,4.017774978102226e-4,6.136861061214338e-4,6.462290624412428e-5,9.530749339296888e-5,0.6780464362615553,0.49775222323950663,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
3,TRUE,4.013537979575986e-4,6.521289695816454e-4,7.059427693995824e-5,9.994911446339264e-5,0.7063021750514268,0.4800107007430743,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
4,TRUE,4.389340056250063e-4,6.569472927084972e-4,1.1272207486214622e-4,1.0013432523540115e-4,1.1257086378437475,0.2603060389087757,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
5,TRUE,3.9655995559614344e-4,6.942426232696559e-4,7.198722280952976e-5,9.455940852350315e-5,0.7612909591290118,0.44649471050085277,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
6,TRUE,4.1130427655853874e-4,7.368806154479753e-4,8.26044803506298e-5,9.003351150370991e-5,0.9174859335262737,0.3589021255240985,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
7,TRUE,4.494558802793693e-4,7.437738404329802e-4,1.1150135055037581e-4,9.872510286048295e-5,1.1294123512633671,0.2587411453631228,none,hhi_comp_sirzecs1_ma3_dlag4,21801,130000,14130,26227,0.9518730889636949,0.9449391848152866,4.004716810802611e-4,1.805435981431236e-4,panelpanSIZE2-acco_alt,NA
