an,annai,tenure,n_individuals,n_eqtp
2003,1978,10,41,36.581868131868134
2019,1946,9,44,13.791208791208792
2019,1946,8,48,18.193956043956042
2019,1946,7,51,16.305494505494504
2019,1946,5,54,15.567582417582418
2018,1946,8,55,19.209340659340658
2019,1946,6,57,17.726373626373626
2017,1946,9,62,25.99230769230769
2018,1946,9,66,23.765934065934065
2018,1946,7,68,23.84835164835165
2005,1980,10,70,64.63571428571429
2019,1948,9,70,26.298901098901098
2018,1946,6,73,20.71153846153846
2018,1946,5,74,23.617032967032966
2017,1946,7,75,25.575274725274724
2019,1948,8,76,27.252747252747252
2017,1946,8,78,25.182417582417582
2011,1946,9,81,57.51593406593407
2012,1946,9,82,47.487912087912086
2019,1948,7,83,23.18021978021978
2016,1946,9,84,33.6319813487294
2016,1946,8,85,36.711991328983515
2017,1946,6,86,28.979120879120877
2018,1946,4,86,23.427472527472528
2017,1948,9,89,38.44450549450549
2018,1948,9,90,30.98021978021978
2019,1948,6,90,32.496703296703295
2013,1946,9,92,53.24010989010989
2003,1978,9,94,79.22692307692307
2016,1946,6,94,32.936455829326924
2018,1948,8,95,36.56373626373627
2017,1946,4,98,33.48681318681319
2019,1946,4,98,25.782417582417583
2018,1948,7,101,36.18186813186813
2019,1946,3,101,25.30934065934066
2017,1946,5,102,30.23021978021978
2015,1946,8,103,37.22637362637363
2019,1948,5,105,31.906043956043955
2019,1952,9,105,49.94010989010989
2007,1982,10,106,104.18241758241759
2015,1946,7,107,40.12417582417582
2016,1946,7,107,35.48636031936813
2009,1946,9,108,67.43351648351648
2005,1980,9,109,95.96153846153847
2010,1946,8,109,80.44340659340659
2004,1978,10,110,98.2510989010989
2019,1950,9,110,38.36978021978022
2017,1950,9,111,52.965934065934064
2015,1946,9,113,44.575824175824174
2016,1948,8,114,48.78656153416895
2004,1978,9,116,101.91043956043956
2018,1948,6,117,31.354395604395606
2017,1948,8,118,41.03131868131868
2018,1948,5,119,41.56153846153846
2016,1946,5,121,41.31430932348901
2016,1948,9,123,57.10281593406594
2015,1948,9,124,58.30989010989011
2017,1948,7,126,48.26318681318681
2017,1946,3,127,37.674725274725276
2009,1984,10,128,123.27032967032967
2015,1946,5,128,40.81043956043956
2014,1946,6,129,52.21208791208791
2014,1946,9,129,53.99175824175824
2018,1950,9,130,47.153296703296704
2019,1950,7,132,42.97032967032967
2014,1946,7,133,48.83736263736264
2007,1982,9,134,117.70164835164834
2012,1946,8,135,71.89615384615385
2019,1950,8,135,45.973626373626374
2019,1950,6,136,51.73736263736264
2015,1946,6,137,45.028021978021975
2017,1948,6,137,50.61813186813187
2018,1946,3,138,35.23241758241758
2019,1952,8,138,51.59340659340659
2016,1946,4,140,44.35075334821428
2003,1978,8,142,120.50769230769231
2008,1946,9,142,106.21043956043955
2011,1946,8,144,91.89615384615385
2014,1946,8,145,57.29505494505494
2016,1946,3,147,47.08222548935439
2016,1948,7,148,56.0280992445055
2018,1948,4,148,42.81813186813187
2006,1980,10,150,140.47747252747251
2018,1950,8,150,54.07747252747253
2015,1948,7,151,62.42857142857143
2016,1950,8,151,68.91303442651099
2017,1948,5,153,52.16043956043956
2003,1976,10,154,142.93076923076924
2014,1948,8,155,77.94670329670329
2019,1946,2,156,34.96208791208791
2015,1946,4,157,52.61538461538461
2018,1946,2,157,31.762087912087914
2011,1986,9,158,142.560989010989
2008,1946,8,159,106.08076923076923
2009,1946,7,161,106.07802197802198
2016,1948,6,161,64.43550931490384
2017,1950,8,161,63.31043956043956
2019,1950,5,162,56.607142857142854
2015,1948,8,164,71.23241758241758
2013,1946,6,166,62.06428571428572
2018,1952,9,167,80.80824175824176
2011,1948,9,168,125.97802197802197
2013,1946,8,169,71.84835164835165
2013,1988,10,170,157.6021978021978
2009,1984,9,171,158.73186813186814
2019,1948,4,171,62.465384615384615
2018,1950,5,172,62.00604395604395
2017,1948,4,175,59.9043956043956
