name,Treated,Control,Norm. Diff.,sample,n_treated,n_control
age_cl,37.07514118885805,37.02823642019622,0.008181591728466449,le5_panelsize0,20897,20897
age_cl_sd,8.026406748977301,8.188057607255232,NA,le5_panelsize0,20897,20897
bnuls_siren0912,0.09643245059075756,0.10144727954805545,-0.07334042794508001,le5_panelsize0,20897,20897
bnuls_siren0912_sd,0.09146562043650332,0.10166574840552617,NA,le5_panelsize0,20897,20897
cgt_siren0912,0.32134168988265477,0.33430252065578275,-0.04990851355665677,le5_panelsize0,20897,20897
cgt_siren0912_sd,0.33265762624396505,0.39887114235038096,NA,le5_panelsize0,20897,20897
dads_eqtp_ma3,53.09753952175379,35.9985132772347,0.41090861829344266,le5_panelsize0,20897,20897
dads_eqtp_ma3_sd,51.923057105506416,65.042069359263,NA,le5_panelsize0,20897,20897
dads_eqtp_ma3_dlag4,43.54933552365554,37.81859970534289,0.1383528422279641,le5_panelsize0,20897,20897
dads_eqtp_ma3_dlag4_sd,50.133493956440205,65.95061950569242,NA,le5_panelsize0,20897,20897
extwage_agreement_ind_07,0.641876629018245,0.6338332657748953,0.023666395814324687,le5_panelsize0,20897,20897
extwage_agreement_ind_07_sd,0.4794903251540504,0.4817883563392224,NA,le5_panelsize0,20897,20897
extwage_agreement_ind_07_alt,0.34523364485981306,0.3324828123892551,0.03809945431010358,le5_panelsize0,20897,20897
extwage_agreement_ind_07_alt_sd,0.4754666162982615,0.4711196485103374,NA,le5_panelsize0,20897,20897
fe0212_idfhda_ma3,0.0979487022244391,0.0743312781284142,0.15431554355461774,le5_panelsize0,20897,20897
fe0212_idfhda_ma3_sd,0.25415051307984887,0.1705878230770408,NA,le5_panelsize0,20897,20897
fe0212_idfhda_ma3_dlag4,-0.11042034573869836,0.11181385433011745,-1.087428858048791,le5_panelsize0,20897,20897
fe0212_idfhda_ma3_dlag4_sd,0.32824786461092353,0.24354929847274542,NA,le5_panelsize0,20897,20897
fe0215_god2,2.489406040011147,2.446685837049478,0.33992496506778946,le5_panelsize0,20897,20897
fe0215_god2_sd,0.18274722509443675,0.17257076092965143,NA,le5_panelsize0,20897,20897
fe0215_god2_d2FE,0.03161718736120571,0.02402000714344158,0.14685048347142807,le5_panelsize0,20897,20897
fe0215_god2_d2FE_sd,0.07053917127212611,0.07569611029485136,NA,le5_panelsize0,20897,20897
fe0215_god2_d2res,0.10647943967745474,0.06699355203988157,0.3474274762949323,le5_panelsize0,20897,20897
fe0215_god2_d2res_sd,0.16524349542276123,0.1560828399358669,NA,le5_panelsize0,20897,20897
fe0215_god2_q5_full,3.9009524922573484,3.676477790293354,0.2622483612999082,le5_panelsize0,20897,20897
fe0215_god2_q5_full_sd,1.1992652630868854,1.2216580706983098,NA,le5_panelsize0,20897,20897
fe0215_le,2.4764611766244293,2.4457461336415895,0.24639451173825616,le5_panelsize0,20897,20897
fe0215_le_sd,0.17987784268162055,0.1726337543178378,NA,le5_panelsize0,20897,20897
fe0215_le_d2FE,0.031634844826070464,0.023790977910502085,0.15208964319966692,le5_panelsize0,20897,20897
fe0215_le_d2FE_sd,0.07028406663274625,0.07549601380401999,NA,le5_panelsize0,20897,20897
fe0215_le_d2res,0.09221410041137824,0.06588838212647405,0.2326668155335757,le5_panelsize0,20897,20897
fe0215_le_d2res_sd,0.16321207352883405,0.15675279813897253,NA,le5_panelsize0,20897,20897
fe0215_le_q5_full,3.839085190193427,3.660834191050336,0.20843324303431132,le5_panelsize0,20897,20897
fe0215_le_q5_full_sd,1.2034018144201197,1.2154241188776655,NA,le5_panelsize0,20897,20897
fe0215_mlo,2.4844567570099354,2.445058073368021,0.31658999452609826,le5_panelsize0,20897,20897
fe0215_mlo_sd,0.17935966640746315,0.1725640759975359,NA,le5_panelsize0,20897,20897
fe0215_mlo_d2FE,0.031536177734540614,0.023928050003459767,0.14716781623875955,le5_panelsize0,20897,20897
fe0215_mlo_d2FE_sd,0.07047543484791882,0.0756539029178858,NA,le5_panelsize0,20897,20897
fe0215_mlo_d2res,0.10218938185949716,0.066375443759363,0.3179682114572305,le5_panelsize0,20897,20897
fe0215_mlo_d2res_sd,0.16226178236550212,0.1562578671440253,NA,le5_panelsize0,20897,20897
fe0215_mlo_le,2.474786652945833,2.4445460335262452,0.24279210583103103,le5_panelsize0,20897,20897
fe0215_mlo_le_sd,0.1794241456156402,0.17280430035593913,NA,le5_panelsize0,20897,20897
fe0215_mlo_le_d2FE,0.031617876505213915,0.023744554740934662,0.15262634580716153,le5_panelsize0,20897,20897
fe0215_mlo_le_d2FE_sd,0.07028955366984456,0.07552268224119067,NA,le5_panelsize0,20897,20897
fe0215_mlo_le_d2res,0.0913300715860072,0.06557770274182989,0.22756288168021105,le5_panelsize0,20897,20897
fe0215_mlo_le_d2res_sd,0.16302865924816223,0.15699612051275183,NA,le5_panelsize0,20897,20897
fe0215_mlo_le_q5_full,3.835587439727155,3.656110593656552,0.20978504807047663,le5_panelsize0,20897,20897
fe0215_mlo_le_q5_full_sd,1.2035012745878402,1.2162618397188114,NA,le5_panelsize0,20897,20897
fe0215_mlo_q5_full,3.886544306757073,3.6663727651236835,0.2579285849887805,le5_panelsize0,20897,20897
fe0215_mlo_q5_full_sd,1.1956738550701604,1.2186032463489571,NA,le5_panelsize0,20897,20897
hhi_comp_sirze_eqtp_ma3_dlag4,0.0011117563438240421,7.561145832877545e-4,0.07263120911891588,le5_panelsize0,20897,20897
hhi_comp_sirze_eqtp_ma3_dlag4_sd,0.00795038867063824,0.005718025121562778,NA,le5_panelsize0,20897,20897
hhi_comp_sirzecs1_ma3_dlag4,9.97599411132621e-4,6.126079825756372e-4,0.08244137471850826,le5_panelsize0,20897,20897
hhi_comp_sirzecs1_ma3_dlag4_sd,0.007836165447676026,0.005081896690123208,NA,le5_panelsize0,20897,20897
hours_agreement_ind_07,0.44535186794092096,0.37251722740170246,0.21007258530122572,le5_panelsize0,20897,20897
hours_agreement_ind_07_sd,0.4970477951691916,0.4835077354887932,NA,le5_panelsize0,20897,20897
hours_agreement_ind_07_alt,0.23953271028037382,0.19540718690197748,0.15148119184041337,le5_panelsize0,20897,20897
hours_agreement_ind_07_alt_sd,0.426818247707905,0.3965278835957195,NA,le5_panelsize0,20897,20897
ln_apl_ma3,3.6758989062977205,4.295200436341533,-1.3481122200717486,le5_panelsize0,20897,20897
ln_apl_ma3_sd,0.5463052244656729,0.738705748322077,NA,le5_panelsize0,20897,20897
ln_apl_ma3_d2FE,-0.005047773653029096,0.12016708675926882,-1.0642316556258307,le5_panelsize0,20897,20897
ln_apl_ma3_d2FE_sd,0.17999113768036587,0.1515795538775468,NA,le5_panelsize0,20897,20897
ln_apl_ma3_d2res,-0.2479996366293689,0.2460870330017404,-1.1756329864101227,le5_panelsize0,20897,20897
ln_apl_ma3_d2res_sd,0.4207632952447327,0.7276506363984603,NA,le5_panelsize0,20897,20897
ln_apl_ma3_dlag4,3.7200159896539855,4.17182307198839,-1.1053816114836732,le5_panelsize0,20897,20897
ln_apl_ma3_dlag4_sd,0.42961467417760885,0.6954748489625311,NA,le5_panelsize0,20897,20897
ln_apl_ma3_dlag4_d2FE,0.01805039143318295,0.1229757039411032,-0.9027535347331831,le5_panelsize0,20897,20897
ln_apl_ma3_dlag4_d2FE_sd,0.16321782982888577,0.16551679332959668,NA,le5_panelsize0,20897,20897
ln_apl_ma3_dlag4_d2res,-0.22526509822183566,0.056777217127511305,-0.7658480615572655,le5_panelsize0,20897,20897
ln_apl_ma3_dlag4_d2res_sd,0.38802874400623966,0.6260496276802914,NA,le5_panelsize0,20897,20897
ln_apl_mean_0215,3.9023475268020325,3.991189071108681,-0.19043618619515354,le5_panelsize0,20897,20897
ln_apl_mean_0215_sd,0.7440114737169973,0.5630239450774893,NA,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2FE,0.043542487504653636,0.05694232102960354,-0.09632341361030296,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2FE_sd,0.19130798124897147,0.20201707773007646,NA,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2res,0.18701333226468073,0.2624573484427641,-0.17397493466637662,le5_panelsize0,20897,20897
ln_apl_mean_0215_d2res_sd,0.6928850437986012,0.5216467520925436,NA,le5_panelsize0,20897,20897
ln_emp_ma3,3.8277365609714886,4.965865141238117,-0.9632388640504125,le5_panelsize0,20897,20897
ln_emp_ma3_sd,1.624473272337738,1.7162350196617586,NA,le5_panelsize0,20897,20897
ln_emp_ma3_dlag4,3.146314090287597,4.924335693681412,-1.6452236507219147,le5_panelsize0,20897,20897
ln_emp_ma3_dlag4_sd,1.2995779239835308,1.7271063786423058,NA,le5_panelsize0,20897,20897
ln_emp_mean_0215,3.662118916286676,3.5025319747349446,0.09019977624108991,le5_panelsize0,20897,20897
ln_emp_mean_0215_sd,2.5641815071434255,2.438464762082052,NA,le5_panelsize0,20897,20897
ln_lshare_ma3,-0.0500781693871042,-0.44375024312037537,0.9965617643385608,le5_panelsize0,20897,20897
ln_lshare_ma3_sd,0.4031830103372888,0.6794403223167359,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_d2FE,-0.03680114146910027,0.10563630126143747,-1.3473878336954743,le5_panelsize0,20897,20897
ln_lshare_ma3_d2FE_sd,0.15956277509639905,0.13871309400221096,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_d2res,0.4986756416901233,-0.03743387477360597,1.361734047276152,le5_panelsize0,20897,20897
ln_lshare_ma3_d2res_sd,0.42733473115169507,0.6613409191627387,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_dlag4,-0.29544723063949696,-0.4911929313985736,0.5295443578315527,le5_panelsize0,20897,20897
ln_lshare_ma3_dlag4_sd,0.4193999770719327,0.60882351858305,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_dlag4_d2FE,-0.04339751266707447,0.09795637177002532,-1.370975259323309,le5_panelsize0,20897,20897
ln_lshare_ma3_dlag4_d2FE_sd,0.14670202493918388,0.14491641494098964,NA,le5_panelsize0,20897,20897
ln_lshare_ma3_dlag4_d2res,0.28671779694083316,-0.00449553178305335,0.8349844379143814,le5_panelsize0,20897,20897
ln_lshare_ma3_dlag4_d2res_sd,0.48066408194796734,0.505480047598672,NA,le5_panelsize0,20897,20897
ln_lshare_mean_0215,-0.1429314840845917,-0.24224949482562114,0.3712363448168867,le5_panelsize0,20897,20897
ln_lshare_mean_0215_sd,0.42528708266563126,0.324694839874525,NA,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2FE,0.09359932303135832,0.05820411602298927,0.2320785122599872,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2FE_sd,0.20163313316820114,0.22888005685624954,NA,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2res,0.32011071421562165,0.25618438369521185,0.21963707506329058,le5_panelsize0,20897,20897
ln_lshare_mean_0215_d2res_sd,0.44838340974560775,0.3712181341839931,NA,le5_panelsize0,20897,20897
ln_va_ma3,7.3893814289008954,9.26375365180156,-1.368935397085188,le5_panelsize0,20897,20897
ln_va_ma3_sd,1.5794939942924449,2.2370159456586527,NA,le5_panelsize0,20897,20897
ln_va_ma3_dlag4,6.866330079941583,9.096158765669802,-1.720430233833246,le5_panelsize0,20897,20897
ln_va_ma3_dlag4_sd,1.4106460946859112,2.1747303813412415,NA,le5_panelsize0,20897,20897
ln_va_mean_0215,7.548436949331241,7.48050538275039,0.0344429929947337,le5_panelsize0,20897,20897
ln_va_mean_0215_sd,2.922172828336653,2.649644404823839,NA,le5_panelsize0,20897,20897
mean_age_eqtp_ma3,40.59908175468445,41.205226010289685,-0.1980564366821622,le5_panelsize0,20897,20897
mean_age_eqtp_ma3_sd,4.17622635528183,4.474913532647437,NA,le5_panelsize0,20897,20897
mean_age_eqtp_ma3_dlag4,37.44189453125,40.09395150785093,-0.7802479874493474,le5_panelsize0,20897,20897
mean_age_eqtp_ma3_dlag4_sd,5.360075303335366,4.181170886739514,NA,le5_panelsize0,20897,20897
