coefficient,beta,std_error,tval,pval,dep_var,model_id,n_obs,n_trated,n_ind,r2,ar2,wr2,war2_adj,sample,description
d_treated_{h=-4},0.04582883697543393,0.003369385917654674,13.601539893457494,4.869883517713337e-42,prod_res_ma3,80001,230019,8001,40384,0.031395194812966265,0.031357294368867694,8.88533118214907e-4,8.841893252898858e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-4},0.007363127731057636,0.0016520386098851138,4.456994943701518,8.338340014715956e-6,tfp_cd_ma3,80002,193452,8001,40384,0.0019136134569506247,0.0018671769153573159,1.0185968289766478e-4,9.669070128914825e-5,le5_panelsize0,LE-event def: first
d_treated_{h=-4},0.007270368147165387,0.0011795202364179162,6.163835026048185,7.180514660530863e-10,tfp_tl_ma3,80003,193452,8001,40384,0.005569382506535048,0.005523116051693644,2.2638448277301215e-4,2.2121614489645225e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-3},0.03013282188887383,0.0021078027509338136,14.295845223431924,2.955739568565806e-46,prod_res_ma3,80004,268993,8001,43903,0.025448558959665246,0.025412327857173622,8.560342179677605e-4,8.523196795756638e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-3},0.0041221154539053595,9.907645259848476e-4,4.1605400130852095,3.182101009949e-5,tfp_cd_ma3,80005,226769,8001,43903,0.0021357067347308467,0.002091701041733618,8.097377862070765e-5,7.656414797385658e-5,le5_panelsize0,LE-event def: first
d_treated_{h=-3},0.004482972797816993,6.678812870583649e-4,6.712229979614977,1.9442613916790713e-11,tfp_tl_ma3,80006,226769,8001,43903,0.0043299852106769565,0.004286076285091589,2.0732981389282035e-4,2.0292074047445485e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-1},-0.033996940994490826,0.0023051728374216328,-14.748109314231234,4.1004337648525445e-49,prod_res_ma3,80007,303841,8001,49682,0.023589513114804284,0.023554162587515082,0.0010672619815652595,0.0010639741692167748,le5_panelsize0,LE-event def: first
d_treated_{h=-1},-0.0055608274490113845,9.753151441886285e-4,-5.701569879382397,1.1956574888825722e-8,tfp_cd_ma3,80008,254897,8001,49682,0.0019776078144877474,0.001934536443814583,1.4918621060344694e-4,1.452634579354184e-4,le5_panelsize0,LE-event def: first
d_treated_{h=-1},-0.0050574285436585185,7.150630915468708e-4,-7.07270253974088,1.5450114688641022e-12,tfp_tl_ma3,80009,254897,8001,49682,0.004030622131293682,0.003987639361979767,2.5714616567018567e-4,2.532238365655637e-4,le5_panelsize0,LE-event def: first
d_treated_{h=0},-0.03922403726458341,0.003802950592913931,-10.314106456620783,6.4781744355732975e-25,prod_res_ma3,80010,303841,8001,49682,0.025434006272941123,0.025398722524743955,5.496273157155063e-4,5.463377996630658e-4,le5_panelsize0,LE-event def: first
d_treated_{h=0},-0.006204198275882604,0.0017248199975307933,-3.5970120272053725,3.222953971308792e-4,tfp_cd_ma3,80011,253025,8001,49682,0.0015177001320024752,0.0014742900886507426,7.041930099116467e-5,6.646721323000371e-5,le5_panelsize0,LE-event def: first
