variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.042785385079866414,0.0026359995899295713,16.231180476401196,1.7845477050414822e-10,fe0215_god2,sir+an,FALSE,30401,3028791,0.008302536560528262,0.005580039336461895,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,0.06974996006817365,0.0028502771949957973,24.471290087375692,6.870041735990485e-13,fe0215_god2,sir+an,FALSE,30401,3028791,0.008302536560528262,0.005580039336461895,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.02907337157874442,0.0022551754931835377,12.89184441149755,5.54918717954611e-8,fe0215_god2,sir+an,FALSE,30402,2292587,0.16885963843032814,0.004197174287936645,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,0.056799292100258164,0.002282453292234545,24.88519361754434,5.0683996168242526e-11,fe0215_god2,sir+an,FALSE,30402,2292587,0.16885963843032814,0.004197174287936645,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.009951043176042298,0.008425421832838152,-1.1810735858064727,0.25724964713765786,fe0215_god2,sir+an,TRUE,30403,3028791,0.015680384597875685,0.011485334616767817,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,0.034302893279835295,0.005957179365722972,5.758244157832613,4.952183227976754e-5,fe0215_god2,sir+an,TRUE,30403,3028791,0.015680384597875685,0.011485334616767817,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.007160124603380304,0.005227857063018381,1.369609864437705,0.19811870723407765,fe0215_god2,sir+an,TRUE,30404,2292587,0.2349918181390016,0.021428918525574048,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,0.03792095777087237,0.004001994763969831,9.475514089192906,1.263112073304032e-6,fe0215_god2,sir+an,TRUE,30404,2292587,0.2349918181390016,0.021428918525574048,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.02433782139999613,0.0023560041208209852,-10.330126838451898,6.238088456446634e-8,fe0215_god2,sir+an,FALSE,30405,3028791,0.19518861753892636,0.19297917682194798,le5_panelsize0-moving_wpanel,TRUE,FALSE
originTRUE,0.028563405522972547,0.0025259803635498492,11.307849393900824,1.9974527487490013e-8,fe0215_god2,sir+an,FALSE,30405,3028791,0.19518861753892636,0.19297917682194798,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_apl_ma3,0.1112424347417455,0.0017724850795457863,62.76071715664443,1.4664962013946592e-18,fe0215_god2,sir+an,FALSE,30405,3028791,0.19518861753892636,0.19297917682194798,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_emp_ma3,0.03454758357698331,5.284439093111965e-4,65.37606540307101,8.295454549360171e-19,fe0215_god2,sir+an,FALSE,30405,3028791,0.19518861753892636,0.19297917682194798,le5_panelsize0-moving_wpanel,TRUE,FALSE
destinationTRUE,-0.02242383294233706,0.0019582358742995668,-11.451037761402338,1.8795966658529972e-7,fe0215_god2,sir+an,FALSE,30406,2292587,0.2897373156440801,0.1490226912531294,le5_panelsize0-moving_wpanel,TRUE,TRUE
originTRUE,0.025833644680447063,0.002489515058139093,10.376978679437133,5.101516040802563e-7,fe0215_god2,sir+an,FALSE,30406,2292587,0.2897373156440801,0.1490226912531294,le5_panelsize0-moving_wpanel,TRUE,TRUE
ln_apl_ma3,0.09579377071759528,0.0016866860086441687,56.794074431552595,6.225966734315221e-15,fe0215_god2,sir+an,FALSE,30406,2292587,0.2897373156440801,0.1490226912531294,le5_panelsize0-moving_wpanel,TRUE,TRUE
ln_emp_ma3,0.03240980173309745,5.757905608223016e-4,56.287483571825426,6.8686980554414246e-15,fe0215_god2,sir+an,FALSE,30406,2292587,0.2897373156440801,0.1490226912531294,le5_panelsize0-moving_wpanel,TRUE,TRUE
destinationTRUE,0.04393402626404464,0.002590890877903988,16.957111794529514,9.944492524849585e-11,fe0215_mlo_le,sir+an,FALSE,30407,3028791,0.006966296899153512,0.004439141374766753,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,0.06055772976162953,0.0030626619821998774,19.772906743737863,1.2553137580906248e-11,fe0215_mlo_le,sir+an,FALSE,30407,3028791,0.006966296899153512,0.004439141374766753,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.030021416847286035,0.00223344399321997,13.4417594255426,3.59486139554777e-8,fe0215_mlo_le,sir+an,FALSE,30408,2292587,0.1633824172020636,0.003165768190737106,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,0.048209661004146365,0.0026164572196409022,18.4255491136075,1.2855943173526627e-9,fe0215_mlo_le,sir+an,FALSE,30408,2292587,0.1633824172020636,0.003165768190737106,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.0062917351342011395,0.00850888320600043,-0.7394313662413692,0.4718623615790618,fe0215_mlo_le,sir+an,TRUE,30409,3028791,0.010569585864009023,0.0070537433536035365,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,0.026256957270960873,0.006023426696234137,4.3591395056532845,6.543524069850386e-4,fe0215_mlo_le,sir+an,TRUE,30409,3028791,0.010569585864009023,0.0070537433536035365,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.00941972395935298,0.005078042951306815,1.8549909974528376,0.09057437667302837,fe0215_mlo_le,sir+an,TRUE,30410,2292587,0.2236347627297003,0.016187106032840015,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,0.031045984204629215,0.003899951577163819,7.96060761021216,6.845900883756195e-6,fe0215_mlo_le,sir+an,TRUE,30410,2292587,0.2236347627297003,0.016187106032840015,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.022375374963540952,0.002302252761541422,-9.71890460392369,1.3282630828704558e-7,fe0215_mlo_le,sir+an,FALSE,30411,3028791,0.18775984702819748,0.18569279010626005,le5_panelsize0-moving_wpanel,TRUE,FALSE
originTRUE,0.01991434982076489,0.002400206914260639,8.296930444806804,8.937222544212384e-7,fe0215_mlo_le,sir+an,FALSE,30411,3028791,0.18775984702819748,0.18569279010626005,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_apl_ma3,0.1102918647999613,0.0017734064215702112,62.19209734354439,1.6650728687379898e-18,fe0215_mlo_le,sir+an,FALSE,30411,3028791,0.18775984702819748,0.18569279010626005,le5_panelsize0-moving_wpanel,TRUE,FALSE
ln_emp_ma3,0.03409932462988245,5.337550446930774e-4,63.885718681104784,1.1444871629424095e-18,fe0215_mlo_le,sir+an,FALSE,30411,3028791,0.18775984702819748,0.18569279010626005,le5_panelsize0-moving_wpanel,TRUE,FALSE
destinationTRUE,-0.020832770499288732,0.0019365190183812265,-10.757844514588474,3.5463003141450436e-7,fe0215_mlo_le,sir+an,FALSE,30412,2292587,0.280594429997611,0.14282449535149166,le5_panelsize0-moving_wpanel,TRUE,TRUE
originTRUE,0.017691066310051885,0.0021425339770576517,8.25707620018567,4.829546915305675e-6,fe0215_mlo_le,sir+an,FALSE,30412,2292587,0.280594429997611,0.14282449535149166,le5_panelsize0-moving_wpanel,TRUE,TRUE
ln_apl_ma3,0.09523379459259473,0.0016512564345812096,57.673534284666005,5.260471525210348e-15,fe0215_mlo_le,sir+an,FALSE,30412,2292587,0.280594429997611,0.14282449535149166,le5_panelsize0-moving_wpanel,TRUE,TRUE
ln_emp_ma3,0.03198240738071055,5.827137880531527e-4,54.88527650523562,9.05723044040933e-15,fe0215_mlo_le,sir+an,FALSE,30412,2292587,0.280594429997611,0.14282449535149166,le5_panelsize0-moving_wpanel,TRUE,TRUE
destinationTRUE,0.042776341374567574,0.002621015446578074,16.32052242592282,1.6585328222951007e-10,fe0215_mlo,sir+an,FALSE,30413,3028791,0.007973538906179245,0.005308307753119523,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,0.06775906263178469,0.0028298904737014082,23.944058351897258,9.257399296071775e-13,fe0215_mlo,sir+an,FALSE,30413,3028791,0.007973538906179245,0.005308307753119523,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.028976761849290752,0.0022521666802860175,12.866171097785179,5.6650710719397115e-8,fe0215_mlo,sir+an,FALSE,30414,2292587,0.16743594996404065,0.0039569600932788385,le5_panelsize0-moving_wpanel,FALSE,TRUE
originTRUE,0.05503719695211031,0.0022867029767913868,24.06836283973198,7.272017161617097e-11,fe0215_mlo,sir+an,FALSE,30414,2292587,0.16743594996404065,0.0039569600932788385,le5_panelsize0-moving_wpanel,FALSE,TRUE
destinationTRUE,-0.008925894822589526,0.008434063191368583,-1.0583149094405984,0.3078312834306745,fe0215_mlo,sir+an,TRUE,30415,3028791,0.01390758453677765,0.009979884552697826,le5_panelsize0-moving_wpanel,FALSE,FALSE
originTRUE,0.031741243691549716,0.005968753999512743,5.317901138854257,1.0858547206962869e-4,fe0215_mlo,sir+an,TRUE,30415,3028791,0.01390758453677765,0.009979884552697826,le5_panelsize0-moving_wpanel,FALSE,FALSE
destinationTRUE,0.007525083609314427,0.005171620233831986,1.4550727371832963,0.17358530317100007,fe0215_mlo,sir+an,TRUE,30416,2292587,0.23099015639266351,0.019617339029482816,le5_panelsize0-moving_wpanel,FALSE,TRUE
