variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.04544270775742157,0.002557734301801464,17.76678200132647,5.3186319715724346e-11,fe0215_god2,sir+an,FALSE,30601,3004799,0.0065484817152937635,0.003495793726494889,le5_panelsize0-moving_wpanel_pre,FALSE,FALSE
originTRUE,0.06177171683032958,0.0029355820714348116,21.04240839709778,5.394600725039492e-12,fe0215_god2,sir+an,FALSE,30601,3004799,0.0065484817152937635,0.003495793726494889,le5_panelsize0-moving_wpanel_pre,FALSE,FALSE
destinationTRUE,0.031294587124219155,0.002259211190712156,13.851997216052375,2.627021240560202e-8,fe0215_god2,sir+an,FALSE,30602,2269096,0.1665741988633188,0.002285245390667656,le5_panelsize0-moving_wpanel_pre,FALSE,TRUE
originTRUE,0.04999654697722859,0.0026876332480671194,18.602443995357216,1.1608318046951698e-9,fe0215_god2,sir+an,FALSE,30602,2269096,0.1665741988633188,0.002285245390667656,le5_panelsize0-moving_wpanel_pre,FALSE,TRUE
destinationTRUE,-8.311908725511744e-4,0.009361205964534706,-0.08879100360575053,0.9305056723507595,fe0215_god2,sir+an,TRUE,30603,3004799,0.013970128594825937,0.007542000303733309,le5_panelsize0-moving_wpanel_pre,FALSE,FALSE
originTRUE,0.03257766014977374,0.0065567454714626485,4.968571723816888,2.062018406502261e-4,fe0215_god2,sir+an,TRUE,30603,3004799,0.013970128594825937,0.007542000303733309,le5_panelsize0-moving_wpanel_pre,FALSE,FALSE
destinationTRUE,0.010118457799284447,0.005932458332169527,1.705609585897265,0.11612151952673584,fe0215_god2,sir+an,TRUE,30604,2269096,0.23183069176811422,0.01164592200780068,le5_panelsize0-moving_wpanel_pre,FALSE,TRUE
originTRUE,0.03621305103486806,0.003901295208100712,9.282315001355116,1.547896979454463e-6,fe0215_god2,sir+an,TRUE,30604,2269096,0.23183069176811422,0.01164592200780068,le5_panelsize0-moving_wpanel_pre,FALSE,TRUE
destinationTRUE,-0.021039167412171537,0.0025213507216056744,-8.344403351697594,8.355845422115239e-7,fe0215_god2,sir+an,FALSE,30605,3004799,0.19347215723602817,0.19099385022967463,le5_panelsize0-moving_wpanel_pre,TRUE,FALSE
originTRUE,0.031244062552184662,0.0021177734418869045,14.753260161930573,6.337075164626216e-10,fe0215_god2,sir+an,FALSE,30605,3004799,0.19347215723602817,0.19099385022967463,le5_panelsize0-moving_wpanel_pre,TRUE,FALSE
ln_apl_ma3,0.11148145558210297,0.001787899842692051,62.353300179413125,1.6060051986175227e-18,fe0215_god2,sir+an,FALSE,30605,3004799,0.19347215723602817,0.19099385022967463,le5_panelsize0-moving_wpanel_pre,TRUE,FALSE
ln_emp_ma3,0.03483136526811679,5.76123314856104e-4,60.45817686933305,2.470344035159734e-18,fe0215_god2,sir+an,FALSE,30605,3004799,0.19347215723602817,0.19099385022967463,le5_panelsize0-moving_wpanel_pre,TRUE,FALSE
