variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.010427971714151364,0.015463448662707562,0.6743626173959494,0.5015770633770903,ln_lshare_mean_0215,minmax_year,FALSE,30201,661415,0.0365494405235699,6.564440683645145e-4,le5_panelsize10-fixed_wpanel,FALSE,FALSE
originTRUE,0.09198509789457834,0.009210237167371052,9.987267018535892,7.185536063618374e-17,ln_lshare_mean_0215,minmax_year,FALSE,30201,661415,0.0365494405235699,6.564440683645145e-4,le5_panelsize10-fixed_wpanel,FALSE,FALSE
destinationTRUE,-0.0031020593782623692,0.012761155498339418,-0.2430860887688449,0.8084175107611944,ln_lshare_mean_0215,minmax_year,FALSE,30202,661415,0.06584866241748988,5.549932512763922e-4,le5_panelsize10-fixed_wpanel,FALSE,TRUE
originTRUE,0.084400617132409,0.004414718111927009,19.118008215380353,8.060516772931315e-36,ln_lshare_mean_0215,minmax_year,FALSE,30202,661415,0.06584866241748988,5.549932512763922e-4,le5_panelsize10-fixed_wpanel,FALSE,TRUE
destinationTRUE,-0.010638450813589575,0.023518378640182393,-0.45234626826754204,0.6519616756167659,ln_lshare_mean_0215,minmax_year,TRUE,30203,661415,0.04164909206608691,1.1891977965272638e-4,le5_panelsize10-fixed_wpanel,FALSE,FALSE
originTRUE,-0.004892873433829936,0.03267409009317201,-0.14974780995821557,0.8812536094640734,ln_lshare_mean_0215,minmax_year,TRUE,30203,661415,0.04164909206608691,1.1891977965272638e-4,le5_panelsize10-fixed_wpanel,FALSE,FALSE
destinationTRUE,0.017175020091353986,0.011808210358003864,1.454498147529391,0.14881972523479645,ln_lshare_mean_0215,minmax_year,TRUE,30204,661415,0.15939472754935768,0.0016751839352140419,le5_panelsize10-fixed_wpanel,FALSE,TRUE
originTRUE,0.038266595224885444,0.010364925404532087,3.6919315606606573,3.5649430296504986e-4,ln_lshare_mean_0215,minmax_year,TRUE,30204,661415,0.15939472754935768,0.0016751839352140419,le5_panelsize10-fixed_wpanel,FALSE,TRUE
destinationTRUE,0.02910688113305874,0.014443589342636863,2.015211069947583,0.04646254122476691,ln_lshare_mean_0215,minmax_year,FALSE,30205,661415,0.3736419701339705,0.3503072319634015,le5_panelsize10-fixed_wpanel,TRUE,FALSE
originTRUE,0.05329870904358819,0.003932816183500498,13.552301088261995,1.0259786783709217e-24,ln_lshare_mean_0215,minmax_year,FALSE,30205,661415,0.3736419701339705,0.3503072319634015,le5_panelsize10-fixed_wpanel,TRUE,FALSE
ln_apl_mean_0215,-0.3907757752855953,0.008183568320548364,-47.751269370402255,1.4653654017194807e-72,ln_lshare_mean_0215,minmax_year,FALSE,30205,661415,0.3736419701339705,0.3503072319634015,le5_panelsize10-fixed_wpanel,TRUE,FALSE
ln_emp_mean_0215,0.025329889643418844,0.0048323479513535965,5.2417354665703755,8.389556015910486e-7,ln_lshare_mean_0215,minmax_year,FALSE,30205,661415,0.3736419701339705,0.3503072319634015,le5_panelsize10-fixed_wpanel,TRUE,FALSE
destinationTRUE,-0.00687289131143063,0.008018192058761888,-0.8571622207428008,0.3933261363186168,ln_lshare_mean_0215,minmax_year,FALSE,30206,661415,0.44274134398786913,0.4037910573888832,le5_panelsize10-fixed_wpanel,TRUE,TRUE
originTRUE,0.054680368059976864,0.0031313393650770852,17.46229382538701,1.0829536587696016e-32,ln_lshare_mean_0215,minmax_year,FALSE,30206,661415,0.44274134398786913,0.4037910573888832,le5_panelsize10-fixed_wpanel,TRUE,TRUE
ln_apl_mean_0215,-0.450304400662358,0.006393734846968927,-70.42900768333135,1.4052954426158588e-89,ln_lshare_mean_0215,minmax_year,FALSE,30206,661415,0.44274134398786913,0.4037910573888832,le5_panelsize10-fixed_wpanel,TRUE,TRUE
ln_emp_mean_0215,0.018005846913276877,0.0034041250919742898,5.28941987347299,6.835663135593712e-7,ln_lshare_mean_0215,minmax_year,FALSE,30206,661415,0.44274134398786913,0.4037910573888832,le5_panelsize10-fixed_wpanel,TRUE,TRUE
destinationTRUE,1.701003474417144,0.14659553497174688,11.603378470872089,1.806309623001705e-20,ln_emp_mean_0215,minmax_year,FALSE,30207,661478,0.16169862388070544,0.04637586856068865,le5_panelsize10-fixed_wpanel,FALSE,FALSE
originTRUE,1.9254880760451425,0.11575619114188018,16.633996480456997,4.530732517266039e-31,ln_emp_mean_0215,minmax_year,FALSE,30207,661478,0.16169862388070544,0.04637586856068865,le5_panelsize10-fixed_wpanel,FALSE,FALSE
destinationTRUE,1.533558003673625,0.1408018287713006,10.891605720295924,6.874373923626793e-19,ln_emp_mean_0215,minmax_year,FALSE,30208,661478,0.23295071176869941,0.03993575476762701,le5_panelsize10-fixed_wpanel,FALSE,TRUE
