variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.01694607302484797,0.02044982201565912,0.8286660398252752,0.4091911650232819,ln_lshare_mean_0215,minmax_year,FALSE,31001,661415,0.0365213179828735,6.272738327519622e-4,panelpanSIZE2-fixed_wpanel,FALSE,FALSE
originTRUE,0.1201351980381092,0.0047791732418281975,25.137234404198615,5.451882374222109e-46,ln_lshare_mean_0215,minmax_year,FALSE,31001,661415,0.0365213179828735,6.272738327519622e-4,panelpanSIZE2-fixed_wpanel,FALSE,FALSE
destinationTRUE,0.00556908526025592,0.014983607400592257,0.37167853584016025,0.7108883867658382,ln_lshare_mean_0215,minmax_year,FALSE,31002,661415,0.0657685884706003,4.6932243631370163e-4,panelpanSIZE2-fixed_wpanel,FALSE,TRUE
originTRUE,0.1054716106281988,0.008780206492208254,12.012429402633822,2.2615934237018898e-21,ln_lshare_mean_0215,minmax_year,FALSE,31002,661415,0.0657685884706003,4.6932243631370163e-4,panelpanSIZE2-fixed_wpanel,FALSE,TRUE
destinationTRUE,-0.06289250753493529,0.012130204526160548,-5.18478541720368,1.0701178916985008e-6,ln_lshare_mean_0215,minmax_year,TRUE,31003,661415,0.04573770111696285,0.004384708856017161,panelpanSIZE2-fixed_wpanel,FALSE,FALSE
originTRUE,0.06546516022608284,0.013472022289307361,4.859341739513156,4.182294523103856e-6,ln_lshare_mean_0215,minmax_year,TRUE,31003,661415,0.04573770111696285,0.004384708856017161,panelpanSIZE2-fixed_wpanel,FALSE,FALSE
destinationTRUE,-0.0388875239883526,0.005721879577520673,-6.796284937755159,6.920171354868392e-10,ln_lshare_mean_0215,minmax_year,TRUE,31004,661415,0.1618270991233045,0.004563932059624687,panelpanSIZE2-fixed_wpanel,FALSE,TRUE
originTRUE,0.09894623651303992,0.016796792747208505,5.8907815320567085,4.77820924385537e-8,ln_lshare_mean_0215,minmax_year,TRUE,31004,661415,0.1618270991233045,0.004563932059624687,panelpanSIZE2-fixed_wpanel,FALSE,TRUE
destinationTRUE,0.04008110325419891,0.01809215532610964,2.2153857587302483,0.028913863028841625,ln_lshare_mean_0215,minmax_year,FALSE,31005,661415,0.37365288681336795,0.35031855533967726,panelpanSIZE2-fixed_wpanel,TRUE,FALSE
originTRUE,0.053896908854427536,0.009807909359379852,5.4952494848336775,2.7932578128008764e-7,ln_lshare_mean_0215,minmax_year,FALSE,31005,661415,0.37365288681336795,0.35031855533967726,panelpanSIZE2-fixed_wpanel,TRUE,FALSE
ln_apl_mean_0215,-0.3909081940433993,0.008132864933160835,-48.06525096089023,7.632068371555593e-73,ln_lshare_mean_0215,minmax_year,FALSE,31005,661415,0.37365288681336795,0.35031855533967726,panelpanSIZE2-fixed_wpanel,TRUE,FALSE
ln_emp_mean_0215,0.02506625531268672,0.0046481337916316244,5.39275684314753,4.371036246552787e-7,ln_lshare_mean_0215,minmax_year,FALSE,31005,661415,0.37365288681336795,0.35031855533967726,panelpanSIZE2-fixed_wpanel,TRUE,FALSE
