variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.07413044511555139,0.002103268137975434,35.2453611487254,4.494219919722973e-15,fe0215_god2,sir+an,FALSE,30601,3020858,0.010621708607484459,0.00777524842866828,panelpanSIZE2-moving_wpanel_pre,FALSE,FALSE
originTRUE,0.10058245565867041,0.00288726658363545,34.836566955318624,5.282471486115885e-15,fe0215_god2,sir+an,FALSE,30601,3020858,0.010621708607484459,0.00777524842866828,panelpanSIZE2-moving_wpanel_pre,FALSE,FALSE
destinationTRUE,0.0483949623953247,0.0017417097026355501,27.785894699956934,1.5338517930060205e-11,fe0215_god2,sir+an,FALSE,30602,2284741,0.16843322803324512,0.004374740968746904,panelpanSIZE2-moving_wpanel_pre,FALSE,TRUE
originTRUE,0.07875625499230883,0.0031223701405377184,25.223228332162385,4.379652662923553e-11,fe0215_god2,sir+an,FALSE,30602,2284741,0.16843322803324512,0.004374740968746904,panelpanSIZE2-moving_wpanel_pre,FALSE,TRUE
destinationTRUE,0.026885309340764975,0.00744233194958287,3.6124845710855253,0.0028275720742361255,fe0215_god2,sir+an,TRUE,30603,3020858,0.01624109888914782,0.011706617548255305,panelpanSIZE2-moving_wpanel_pre,FALSE,FALSE
originTRUE,0.01752716635632258,0.008270732480328061,2.1191794557508596,0.05243658507510331,fe0215_god2,sir+an,TRUE,30603,3020858,0.01624109888914782,0.011706617548255305,panelpanSIZE2-moving_wpanel_pre,FALSE,FALSE
destinationTRUE,0.032050930387241675,0.004124322363856476,7.771199135188898,8.59825731637771e-6,fe0215_god2,sir+an,TRUE,30604,2284741,0.23410685667490672,0.01987463719251714,panelpanSIZE2-moving_wpanel_pre,FALSE,TRUE
originTRUE,0.02890072789541001,0.008415040704082461,3.434413321540935,0.00557941598762403,fe0215_god2,sir+an,TRUE,30604,2284741,0.23410685667490672,0.01987463719251714,panelpanSIZE2-moving_wpanel_pre,FALSE,TRUE
destinationTRUE,-0.015501820516494805,0.0018588527689839555,-8.339455805834511,8.414522869482505e-7,fe0215_god2,sir+an,FALSE,30605,3020858,0.19441219751904149,0.19209450607558476,panelpanSIZE2-moving_wpanel_pre,TRUE,FALSE
originTRUE,0.04599956138006851,0.002719610427515188,16.91402596293789,1.028906591291594e-10,fe0215_god2,sir+an,FALSE,30605,3020858,0.19441219751904149,0.19209450607558476,panelpanSIZE2-moving_wpanel_pre,TRUE,FALSE
ln_apl_ma3,0.11146310987491861,0.0017911418534857628,62.23019670831705,1.6509055843558489e-18,fe0215_god2,sir+an,FALSE,30605,3020858,0.19441219751904149,0.19209450607558476,panelpanSIZE2-moving_wpanel_pre,TRUE,FALSE
ln_emp_ma3,0.03480306246083071,5.619271956318265e-4,61.935180805225876,1.7640743965098157e-18,fe0215_god2,sir+an,FALSE,30605,3020858,0.19441219751904149,0.19209450607558476,panelpanSIZE2-moving_wpanel_pre,TRUE,FALSE
destinationTRUE,-0.020234543874986417,0.0016166557155058699,-12.51629749049865,7.535872325641943e-8,fe0215_god2,sir+an,FALSE,30606,2284741,0.2888623947025203,0.14856318656576362,panelpanSIZE2-moving_wpanel_pre,TRUE,TRUE
