variable,beta,std_error,tval,pval,dep_var,clustering,weighted,model_id,n_obs,r2,r2_proj,sample,controls,naf2_fe
destinationTRUE,0.13793959874599138,0.014260530909051121,9.672823517281637,3.624262823598871e-16,ln_lshare_mean_0215,minmax_year,FALSE,30801,1941522,0.02977048696782314,0.002048658133546155,panelpanSIZE3-fixed_all,FALSE,FALSE
originTRUE,0.30185084508429755,0.01519779103450534,19.861494634251116,3.5498925979869034e-37,ln_lshare_mean_0215,minmax_year,FALSE,30801,1941522,0.02977048696782314,0.002048658133546155,panelpanSIZE3-fixed_all,FALSE,FALSE
destinationTRUE,0.0929346698555321,0.0116735129295406,7.961157058416815,2.2382829800879226e-12,ln_lshare_mean_0215,minmax_year,FALSE,30802,1941522,0.06095316046773358,0.0014429002374808375,panelpanSIZE3-fixed_all,FALSE,TRUE
originTRUE,0.26180690158109027,0.013040237281996252,20.076851051057854,1.4552247335156354e-37,ln_lshare_mean_0215,minmax_year,FALSE,30802,1941522,0.06095316046773358,0.0014429002374808375,panelpanSIZE3-fixed_all,FALSE,TRUE
destinationTRUE,-0.021673629059490246,0.008627554492789421,-2.512140500254647,0.013536985258529931,ln_lshare_mean_0215,minmax_year,TRUE,30803,1941522,0.03703263651914357,0.002897111679318831,panelpanSIZE3-fixed_all,FALSE,FALSE
originTRUE,0.11234962820865822,0.01519788348564747,7.392452265788102,3.7967516119358395e-11,ln_lshare_mean_0215,minmax_year,TRUE,30803,1941522,0.03703263651914357,0.002897111679318831,panelpanSIZE3-fixed_all,FALSE,FALSE
destinationTRUE,-0.013460328815868132,0.011992873594876066,-1.122360601017177,0.26429365602148536,ln_lshare_mean_0215,minmax_year,TRUE,30804,1941522,0.1449471494584137,0.0027030254812231425,panelpanSIZE3-fixed_all,FALSE,TRUE
originTRUE,0.10655060854684235,0.011037885704460232,9.653171938878382,4.009795484470013e-16,ln_lshare_mean_0215,minmax_year,TRUE,30804,1941522,0.1449471494584137,0.0027030254812231425,panelpanSIZE3-fixed_all,FALSE,TRUE
destinationTRUE,-0.08988873609907558,0.038290534247216935,-2.347544579000199,0.02079048235083491,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.33608395251865286,0.3171142481534577,panelpanSIZE3-fixed_all,TRUE,FALSE
originTRUE,0.01721016852051871,0.013329385647067926,1.2911449166679667,0.19951597652413164,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.33608395251865286,0.3171142481534577,panelpanSIZE3-fixed_all,TRUE,FALSE
ln_apl_mean_0215,-0.38509977681882496,0.012882330141306906,-29.89364288872019,7.163610874468806e-53,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.33608395251865286,0.3171142481534577,panelpanSIZE3-fixed_all,TRUE,FALSE
ln_emp_mean_0215,0.12858321296157546,0.005823097264353708,22.081584271089213,4.719545492026663e-41,ln_lshare_mean_0215,minmax_year,FALSE,30805,1941522,0.33608395251865286,0.3171142481534577,panelpanSIZE3-fixed_all,TRUE,FALSE
destinationTRUE,-0.10591120267970255,0.027740529595192093,-3.817922881258142,2.29006339315946e-4,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3754231631125028,0.33584182538554064,panelpanSIZE3-fixed_all,TRUE,TRUE
originTRUE,0.018096946189391838,0.011985668942314835,1.5098820329920368,0.13410583413603164,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3754231631125028,0.33584182538554064,panelpanSIZE3-fixed_all,TRUE,TRUE
ln_apl_mean_0215,-0.41661841839265695,0.011263257969229211,-36.98915709209915,1.1467563681304092e-61,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3754231631125028,0.33584182538554064,panelpanSIZE3-fixed_all,TRUE,TRUE
ln_emp_mean_0215,0.11580844391902409,0.0050265467914624605,23.039364542616728,1.1984174946529929e-42,ln_lshare_mean_0215,minmax_year,FALSE,30806,1941522,0.3754231631125028,0.33584182538554064,panelpanSIZE3-fixed_all,TRUE,TRUE
destinationTRUE,2.235276675265211,0.20910850374091286,10.689554156222824,1.9393576921062378e-18,ln_emp_mean_0215,minmax_year,FALSE,30807,1943052,0.13971604240003077,0.0485081063680578,panelpanSIZE3-fixed_all,FALSE,FALSE
originTRUE,2.137190236075055,0.020055063763800045,106.56611523383653,5.032584538357328e-108,ln_emp_mean_0215,minmax_year,FALSE,30807,1943052,0.13971604240003077,0.0485081063680578,panelpanSIZE3-fixed_all,FALSE,FALSE
