variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.04038819824065903,0.0010323057492600996,39.12425971627794,1.2330147654146428e-63,fe0215_god2,~minmax_year,12,44879,44879,0.149278111767709,0.1473020748628947,0.13986892410157592,0.13984971359825038,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04354300032909364,0.009472834860793517,-4.596617693538694,1.222827498868781e-5,fe0215_god2,~minmax_year,12,44879,44879,0.2194561660236981,0.21762566320799415,0.21082316443161864,0.21078791207704928,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.08064914939475631,0.008012023160082758,10.066015509860717,5.275414347184187e-17,fe0215_god2,~minmax_year,12,44879,44879,0.2194561660236981,0.21762566320799415,0.21082316443161864,0.21078791207704928,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.03747995437416463,0.001673806118485345,22.39205243680246,2.2748387311168666e-41,fe0215_god2,~minmax_year,12,44879,44879,0.22469392151155554,0.2228757020882136,0.2161188507485946,0.2160838349511608,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08829963697300898,0.01079757048364436,8.177731935786946,7.946082055905113e-13,fe0215_god2,~minmax_year,12,44879,44879,0.22469392151155554,0.2228757020882136,0.2161188507485946,0.2160838349511608,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.03703592635890926,0.0015570773958868925,23.78553979188301,1.2302828747907783e-43,fe0215_god2,~minmax_year,12,44879,44879,0.22120587540346148,0.21937947594212015,0.21259222601583705,0.21255705268485703,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08741751159066068,0.01225731360142482,7.131865466875144,1.4140070403107784e-10,fe0215_god2,~minmax_year,12,44879,44879,0.22120587540346148,0.21937947594212015,0.21259222601583705,0.21255705268485703,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03997489093180705,0.0011274587622240226,35.45574549702613,1.5605786103197362e-59,fe0215_god2,~minmax_year,12,44879,44879,0.15034640874374106,0.14835383225608323,0.1409490366978119,0.14091066308142242,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.017323207787233924,0.004448009110157762,3.8945980905645006,1.7499729853102087e-4,fe0215_god2,~minmax_year,12,44879,44879,0.15034640874374106,0.14835383225608323,0.1409490366978119,0.14091066308142242,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.04036038093512541,0.001044487688579796,38.641318013048064,4.0876018730379235e-63,fe0215_god2,~minmax_year,12,44879,44879,0.1495158853927282,0.14752136119212156,0.14010932755978822,0.14007091643377745,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.013122905900891418,0.0087339704816723,1.5025131958516496,0.13602440519239214,fe0215_god2,~minmax_year,12,44879,44879,0.1495158853927282,0.14752136119212156,0.14010932755978822,0.14007091643377745,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.02339684950512827,0.0026438995206656143,8.849371665697038,2.652840909075474e-14,fe0215_god2,~minmax_year,12,44879,44879,0.014113982486431254,0.011823989503418564,0.0032098472049502114,0.003187584504436569,le5_panelsize0-fixed-one,fe0215_god2~before1994 | minmax_year
maxmfg,0.03284394598197726,0.0036387212204784694,9.026233116495384,1.0775443974220582e-14,fe0215_god2,~minmax_year,12,44879,44879,0.01652553028219561,0.014241138786000307,0.005648067296431858,0.005625859052077908,le5_panelsize0-fixed-one,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.03646342578341225,0.0015536200690168134,23.46997603248497,3.937889757839743e-43,fe0215_god2,~minmax_year,12,44879,44879,0.22167328945247988,0.21981313537889235,0.2130648097760922,0.2129945021939319,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08797802481150938,0.012291783066967368,7.157466441784132,1.248394838639611e-10,fe0215_god2,~minmax_year,12,44879,44879,0.22167328945247988,0.21981313537889235,0.2130648097760922,0.2129945021939319,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0022289022208211414,0.0019940103905017495,1.1177986992636917,0.26625341428136906,fe0215_god2,~minmax_year,12,44879,44879,0.22167328945247988,0.21981313537889235,0.2130648097760922,0.2129945021939319,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
maxmfg,0.009354708703910922,0.002687452866811237,3.4808828907986147,7.343233184295234e-4,fe0215_god2,~minmax_year,12,44879,44879,0.22167328945247988,0.21981313537889235,0.2130648097760922,0.2129945021939319,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.031919214091090616,0.0011047678169987445,28.892237445695695,3.2929470398395476e-51,fe0215_god2,~minmax_year,12,44879,44879,0.2987619945062798,0.29589083319057663,0.141258154701576,0.1412005145732418,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
prod_res_mean_0215,0.07096298939603549,0.010477081371676585,6.773163906875308,7.978598524196921e-10,fe0215_god2,~minmax_year,12,44879,44879,0.2987619945062798,0.29589083319057663,0.141258154701576,0.1412005145732418,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.004082296622696446,0.0021586018083618614,1.891176319264948,0.061410487040854264,fe0215_god2,~minmax_year,12,44879,44879,0.2987619945062798,0.29589083319057663,0.141258154701576,0.1412005145732418,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.04006571350625648,0.0010747711988941789,37.27836543022337,1.292916933921878e-61,fe0215_god2,~minmax_year,12,44879,44879,0.15035909197801167,0.14832850125726937,0.14096186021168866,0.14088511069617293,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
tfp_cd_mean_0215,0.017373423816706705,0.004615460763335585,3.764179722795642,2.7817013352727593e-4,fe0215_god2,~minmax_year,12,44879,44879,0.15035909197801167,0.14832850125726937,0.14096186021168866,0.14088511069617293,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.0012943523066376015,0.0015602326819258458,-0.8295892796194606,0.4086895865355761,fe0215_god2,~minmax_year,12,44879,44879,0.15035909197801167,0.14832850125726937,0.14096186021168866,0.14088511069617293,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
maxmfg,-7.641676914812018e-4,0.0027790100727954747,-0.27497838131709496,0.7838836727773836,fe0215_god2,~minmax_year,12,44879,44879,0.15035909197801167,0.14832850125726937,0.14096186021168866,0.14088511069617293,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.033138114236062007,7.332994818067857e-4,45.19042363757382,9.902318245896564e-70,fe0215_god2,~minmax_year,12,44879,44879,0.2629937904210573,0.25997617913673143,0.09745611696471834,0.0973955367734417,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_cd_mean_0215,0.017771348288393652,0.0031979167762985886,5.55716409510913,2.1628655401621711e-7,fe0215_god2,~minmax_year,12,44879,44879,0.2629937904210573,0.25997617913673143,0.09745611696471834,0.0973955367734417,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.0028069813371614516,0.0018434680688364392,1.5226633889748702,0.1309072898519085,fe0215_god2,~minmax_year,12,44879,44879,0.2629937904210573,0.25997617913673143,0.09745611696471834,0.0973955367734417,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.040395828209733926,9.916522808008346e-4,40.73587989644034,2.476695304812413e-65,fe0215_god2,~minmax_year,12,44879,44879,0.14953261132254025,0.14750004536268924,0.14012623848238648,0.1400494143094605,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
tfp_tl_mean_0215,0.013129434099212503,0.008709203151609186,1.5075356345071131,0.13473452905292074,fe0215_god2,~minmax_year,12,44879,44879,0.14953261132254025,0.14750004536268924,0.14012623848238648,0.1400494143094605,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
before1994,-0.0016194890123393322,0.001511337929977482,-1.0715598280283098,0.28642218690212606,fe0215_god2,~minmax_year,12,44879,44879,0.14953261132254025,0.14750004536268924,0.14012623848238648,0.1400494143094605,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
maxmfg,6.755111728405233e-4,0.00260255623954592,0.259556801338665,0.7957237460992971,fe0215_god2,~minmax_year,12,44879,44879,0.14953261132254025,0.14750004536268924,0.14012623848238648,0.1400494143094605,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year
ln_emp_mean_0215,0.0334471856794536,6.878223387301509e-4,48.627652514460905,7.279007579926436e-73,fe0215_god2,~minmax_year,12,44879,44879,0.2620326872120943,0.25901114076975873,0.09627914204789823,0.09621848285617973,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
tfp_tl_mean_0215,0.006734650068709931,0.005715787347052127,1.1782541336467451,0.2414103081935791,fe0215_god2,~minmax_year,12,44879,44879,0.2620326872120943,0.25901114076975873,0.09627914204789823,0.09621848285617973,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
before1994,0.0026861732502015505,0.001826056814388296,1.4710239183337688,0.14433319641378023,fe0215_god2,~minmax_year,12,44879,44879,0.2620326872120943,0.25901114076975873,0.09627914204789823,0.09621848285617973,le5_panelsize0-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215+before1994+maxmfg | minmax_year+naf2d_num_main
ln_emp_mean_0215,0.039186262488367915,8.979182874738227e-4,43.6412344363911,3.01576902928156e-68,fe0215_mlo_le,~minmax_year,12,44879,44879,0.13795915712948392,0.13595682882157,0.12935133234420004,0.12933188693687303,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04346614990446185,0.009360298382637132,-4.643671401019577,1.0135199205823622e-5,fe0215_mlo_le,~minmax_year,12,44879,44879,0.20488878644754271,0.20302412074671838,0.19694928095000364,0.19691340885212993,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07942036892713444,0.008083014077063537,9.825588347359023,1.8077844459873243e-16,fe0215_mlo_le,~minmax_year,12,44879,44879,0.20488878644754271,0.20302412074671838,0.19694928095000364,0.19691340885212993,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.036309294584500135,0.001496975293303525,24.255106110918362,2.221977761617377e-44,fe0215_mlo_le,~minmax_year,12,44879,44879,0.21054027779599183,0.20868886576571866,0.2026572047142774,0.2026215875880948,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.0873500411781966,0.010774536302096752,8.107081244990383,1.1332836187259888e-12,fe0215_mlo_le,~minmax_year,12,44879,44879,0.21054027779599183,0.20868886576571866,0.2026572047142774,0.2026215875880948,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.035858004467744634,0.001381811025846352,25.950006040646404,5.576663402881596e-47,fe0215_mlo_le,~minmax_year,12,44879,44879,0.20768679330963702,0.2058286893920419,0.19977522703680628,0.19973948117331874,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08679129985801759,0.012169994487467748,7.131580868618499,1.4159654317888555e-10,fe0215_mlo_le,~minmax_year,12,44879,44879,0.20768679330963702,0.2058286893920419,0.19977522703680628,0.19973948117331874,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.03875101177781368,9.882318772591837e-4,39.21246892509464,9.919877660236908e-64,fe0215_mlo_le,~minmax_year,12,44879,44879,0.13912429598367848,0.13710540180813258,0.1305281055788191,0.13048926646174308,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.01824293530984328,0.004550524454259705,4.00897423873115,1.1558527002044266e-4,fe0215_mlo_le,~minmax_year,12,44879,44879,0.13912429598367848,0.13710540180813258,0.1305281055788191,0.13048926646174308,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.03915229132924611,9.09900742679263e-4,43.02918933109077,1.1985216170303302e-67,fe0215_mlo_le,~minmax_year,12,44879,44879,0.13830790146948857,0.1362870927154246,0.1297035590368083,0.12966468308742085,le5_panelsize0-fixed-one,fe0215_mlo_le~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
