variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.03929380079028011,9.353242116974491e-4,42.0108880951224,1.2381471176766732e-66,fe0215_god2,~minmax_year,12,42359,42359,0.15272940754285214,0.15064401582572373,0.14165182147595767,0.14163150746595798,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.04368342465874492,0.0092151515055251,-4.740391368774977,6.866590014481773e-6,fe0215_god2,~minmax_year,12,42359,42359,0.22585808861663037,0.22393432224039067,0.21573661889056606,0.21569949663268573,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.07945285513031891,0.007883418611776272,10.078477249911863,4.949181364676611e-17,fe0215_god2,~minmax_year,12,42359,42359,0.22585808861663037,0.22393432224039067,0.21573661889056606,0.21569949663268573,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.0361640549857594,0.0015720429220932059,23.004495918983086,2.2343533661166246e-42,fe0215_god2,~minmax_year,12,42359,42359,0.2313376544508865,0.2294275049636867,0.22128782696365212,0.22125096746619466,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08697648954252149,0.010973847483887049,7.925797189201825,2.8102887211810927e-12,fe0215_god2,~minmax_year,12,42359,42359,0.2313376544508865,0.2294275049636867,0.22128782696365212,0.22125096746619466,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.035890587764617794,0.0014474885901114348,24.795074731369564,3.195098951045807e-45,fe0215_god2,~minmax_year,12,42359,42359,0.2278391222578705,0.22592027881094545,0.21774355343153995,0.21770652616973274,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.086251096606372,0.012895892443144402,6.688261164292203,1.1964169558434979e-9,fe0215_god2,~minmax_year,12,42359,42359,0.2278391222578705,0.22592027881094545,0.21774355343153995,0.21770652616973274,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.038920151051272285,0.0010240782132941947,38.0050571782757,2.0227399952102746e-62,fe0215_god2,~minmax_year,12,42359,42359,0.1536902188481034,0.1515871131036367,0.14262519484818348,0.1425846119402171,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.01574582742232211,0.004199867123779052,3.749125140929214,2.93263154535522e-4,fe0215_god2,~minmax_year,12,42359,42359,0.1536902188481034,0.1515871131036367,0.14262519484818348,0.1425846119402171,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.039290023182867506,9.320334663354178e-4,42.15516352363244,8.866716657858453e-67,fe0215_god2,~minmax_year,12,42359,42359,0.1529535812158317,0.15084864490427186,0.14187892609352404,0.14183830786173435,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.012383448760424784,0.006548092916282285,1.8911534883129841,0.06141356702923651,fe0215_god2,~minmax_year,12,42359,42359,0.1529535812158317,0.15084864490427186,0.14187892609352404,0.14183830786173435,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
before1994,0.021320845621511045,0.0021715994547411976,9.81803784070851,1.8790722514619992e-16,fe0215_god2,~minmax_year,12,42359,42359,0.015708012907300617,0.013285369686359627,0.0028389492350293644,0.002815350024285679,le5_panelsize20-fixed-one,fe0215_god2~before1994 | minmax_year
maxmfg,0.032055611657204115,0.0038623208132714513,8.299572512738129,4.302086706368254e-13,fe0215_god2,~minmax_year,12,42359,42359,0.018505021257843368,0.016089262328767173,0.005672526895316832,0.005648994745151126,le5_panelsize20-fixed-one,fe0215_god2~maxmfg | minmax_year
ln_emp_mean_0215,0.03529562475880063,0.0014519498193076646,24.309121630409166,1.8276370588156917e-44,fe0215_god2,~minmax_year,12,42359,42359,0.22843803444851485,0.22648406577761926,0.21835029606194856,0.21827629547460736,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
prod_res_mean_0215,0.08685638005804784,0.012968785968772585,6.697340851116556,1.1457838248799462e-9,fe0215_god2,~minmax_year,12,42359,42359,0.22843803444851485,0.22648406577761926,0.21835029606194856,0.21827629547460736,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
before1994,0.0022272024201503656,0.0018376019315439202,1.2120157156556262,0.22827934495763164,fe0215_god2,~minmax_year,12,42359,42359,0.22843803444851485,0.22648406577761926,0.21835029606194856,0.21827629547460736,le5_panelsize20-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215+before1994+maxmfg | minmax_year
