variable,beta,std_error,tval,pval,dep_var,errors,reg_id,n_siren,n_obs,r2,ar2,wr2,war2_adj,sample,formula
ln_emp_mean_0215,0.026136090008790462,9.611050106502358e-4,27.193792269492057,1.5305460061918123e-48,fe0215_god2,~minmax_year,12,21840,21840,0.10999421884900185,0.10577676414443093,0.0823676110027568,0.08232539383359061,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215 | minmax_year
ln_emp_mean_0215,-0.05743070373513867,0.011864403389967184,-4.840589269217145,4.615048328758457e-6,fe0215_god2,~minmax_year,12,21840,21840,0.23768381292318808,0.23403619923761232,0.21402080892788833,0.21394848510078257,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_va_mean_0215,0.08225404060909719,0.010235840096090356,8.035885656372713,1.7077604501015078e-12,fe0215_god2,~minmax_year,12,21840,21840,0.23768381292318808,0.23403619923761232,0.21402080892788833,0.21394848510078257,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_va_mean_0215 | minmax_year
ln_emp_mean_0215,0.0252872072603754,0.0018929117897074177,13.358893635653237,3.886630719206373e-24,fe0215_god2,~minmax_year,12,21840,21840,0.24350014698902456,0.23988036393343948,0.22001768741685435,0.21994591540741482,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_apl_mean_0215,0.08858639171996625,0.012732845990119923,6.957312747574662,3.409679573073246e-10,fe0215_god2,~minmax_year,12,21840,21840,0.24350014698902456,0.23988036393343948,0.22001768741685435,0.21994591540741482,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+ln_apl_mean_0215 | minmax_year
ln_emp_mean_0215,0.025388044472887294,0.0015390830498615085,16.495564989278382,1.5141580562089574e-30,fe0215_god2,~minmax_year,12,21840,21840,0.22948209326097635,0.22579523509208477,0.20556450025336748,0.2054913982980192,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
prod_res_mean_0215,0.08546051441259486,0.014140385314033117,6.043718930896646,2.4859106743213312e-8,fe0215_god2,~minmax_year,12,21840,21840,0.22948209326097635,0.22579523509208477,0.20556450025336748,0.2054913982980192,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+prod_res_mean_0215 | minmax_year
ln_emp_mean_0215,0.025724923588276005,0.001019078899991257,25.243309020034374,1.1459398918167986e-45,fe0215_god2,~minmax_year,12,21840,21840,0.11219869206521838,0.10795064347882699,0.08464051311948351,0.08455628404316606,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
tfp_cd_mean_0215,0.01739164097589467,0.00424997025817748,4.092179455239941,8.559524073240682e-5,fe0215_god2,~minmax_year,12,21840,21840,0.11219869206521838,0.10795064347882699,0.08464051311948351,0.08455628404316606,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_cd_mean_0215 | minmax_year
ln_emp_mean_0215,0.02616138507806414,9.305842523000668e-4,28.112860295457057,7.658308898791218e-50,fe0215_god2,~minmax_year,12,21840,21840,0.11008868760629953,0.10583054284030247,0.08246501215821056,0.08238058289776962,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
tfp_tl_mean_0215,0.005565640378695842,0.0070988144192468,0.784023929912281,0.4348429841457193,fe0215_god2,~minmax_year,12,21840,21840,0.11008868760629953,0.10583054284030247,0.08246501215821056,0.08238058289776962,panelpanSIZE1-fixed-one,fe0215_god2~ln_emp_mean_0215+tfp_tl_mean_0215 | minmax_year
